x_m,p_Pa
1.48936,101325.532898
1.49186,101325.515719
1.49437,101325.49833
1.49687,101325.480738
1.49937,101325.46295
1.50188,101325.444974
1.50438,101325.426816
1.50688,101325.408485
1.50939,101325.389988
1.51189,101325.371332
1.51439,101325.352525
1.5169,101325.333574
1.5194,101325.314488
1.5219,101325.295274
1.52441,101325.275939
1.52691,101325.256492
1.52941,101325.236941
1.53191,101325.217293
1.53442,101325.197557
1.53692,101325.17774
1.53942,101325.157851
1.54193,101325.137898
1.54443,101325.117889
1.54693,101325.097831
1.54944,101325.077734
1.55194,101325.057605
1.55444,101325.037453
1.55695,101325.017286
1.55945,101324.997111
1.56195,101324.976938
1.56446,101324.956774
1.56696,101324.936628
1.56946,101324.916507
1.57196,101324.89642
1.57447,101324.876376
1.57697,101324.856382
1.57947,101324.836446
1.58198,101324.816577
1.58448,101324.796783
1.58698,101324.777071
1.58949,101324.75745
1.59199,101324.737928
1.59449,101324.718512
1.597,101324.699211
1.5995,101324.680033
1.602,101324.660985
1.60451,101324.642074
1.60701,101324.62331
1.60951,101324.604698
1.61202,101324.586248
1.61452,101324.567966
1.61702,101324.54986
1.61952,101324.531937
1.62203,101324.514204
1.62453,101324.49667
1.62703,101324.47934
1.62954,101324.462222
1.63204,101324.445323
1.63454,101324.42865
1.63705,101324.412209
1.63955,101324.396008
1.64205,101324.380052
1.64456,101324.364349
1.64706,101324.348904
1.64956,101324.333725
1.65207,101324.318817
1.65457,101324.304186
1.65707,101324.289838
1.65957,101324.275779
1.66208,101324.262015
1.66458,101324.248552
1.66708,101324.235394
1.66959,101324.222547
1.67209,101324.210017
1.67459,101324.197809
1.6771,101324.185927
1.6796,101324.174376
1.6821,101324.163162
1.68461,101324.152288
1.68711,101324.141759
1.68961,101324.131579
1.69212,101324.121753
1.69462,101324.112285
1.69712,101324.103177
1.69962,101324.094435
1.70213,101324.086061
1.70463,101324.07806
1.70713,101324.070433
1.70964,101324.063185
1.71214,101324.056318
1.71464,101324.049836
1.71715,101324.04374
1.71965,101324.038033
1.72215,101324.032718
1.72466,101324.027797
1.72716,101324.023271
1.72966,101324.019143
1.73217,101324.015414
1.73467,101324.012086
1.73717,101324.00916
1.73967,101324.006637
1.74218,101324.004519
1.74468,101324.002806
1.74718,101324.001499
1.74969,101324.000598
1.75219,101324.000104
1.75469,101324.000017
1.7572,101324.000337
1.7597,101324.001063
1.7622,101324.002197
1.76471,101324.003736
1.76721,101324.005682
1.76971,101324.008031
1.77222,101324.010785
1.77472,101324.013941
1.77722,101324.017499
1.77972,101324.021456
1.78223,101324.025812
1.78473,101324.030564
1.78723,101324.035711
1.78974,101324.041251
1.79224,101324.04718
1.79474,101324.053498
1.79725,101324.0602
1.79975,101324.067286
1.80225,101324.074751
1.80476,101324.082592
1.80726,101324.090807
1.80976,101324.099392
1.81227,101324.108344
1.81477,101324.117658
1.81727,101324.127332
1.81977,101324.137361
1.82228,101324.147741
1.82478,101324.158467
1.82728,101324.169537
1.82979,101324.180944
1.83229,101324.192685
1.83479,101324.204754
1.8373,101324.217148
1.8398,101324.229859
1.8423,101324.242884
1.84481,101324.256218
1.84731,101324.269854
1.84981,101324.283787
1.85232,101324.298012
1.85482,101324.312523
1.85732,101324.327313
1.85982,101324.342377
1.86233,101324.357709
1.86483,101324.373302
1.86733,101324.389151
1.86984,101324.405248
1.87234,101324.421587
1.87484,101324.438162
1.87735,101324.454965
1.87985,101324.47199
1.88235,101324.48923
1.88486,101324.506678
1.88736,101324.524326
1.88986,101324.542169
1.89237,101324.560197
1.89487,101324.578405
1.89737,101324.596784
1.89987,101324.615328
1.90238,101324.634028
1.90488,101324.652877
1.90738,101324.671867
1.90989,101324.690991
1.91239,101324.71024
1.91489,101324.729608
1.9174,101324.749085
1.9199,101324.768665
1.9224,101324.788339
1.92491,101324.808099
1.92741,101324.827937
1.92991,101324.847845
1.93242,101324.867815
1.93492,101324.887839
1.93742,101324.907909
1.93992,101324.928016
1.94243,101324.948152
1.94493,101324.968309
1.94743,101324.98848
1.94994,101325.008655
1.95244,101325.028826
1.95494,101325.048986
1.95745,101325.069126
1.95995,101325.089237
1.96245,101325.109313
1.96496,101325.129344
1.96746,101325.149322
1.96996,101325.169239
1.97247,101325.189088
1.97497,101325.208859
1.97747,101325.228546
1.97997,101325.24814
1.98248,101325.267632
1.98498,101325.287016
1.98748,101325.306283
1.98999,101325.325425
1.99249,101325.344434
1.99499,101325.363304
1.9975,101325.382025
2.0,101325.400591
