t_s,x,dx_dt
0.138285,-1.866061,-22.606756
0.138535,-1.871656,-22.145516
0.138785,-1.877136,-21.682909
0.139035,-1.8825,-21.218964
0.139285,-1.887748,-20.753709
0.139535,-1.89288,-20.287174
0.139785,-1.897894,-19.819387
0.140035,-1.902792,-19.350376
0.140285,-1.907572,-18.880172
0.140535,-1.912234,-18.408802
0.140785,-1.916778,-17.936296
0.141035,-1.921204,-17.462683
0.141285,-1.925512,-16.987992
0.141535,-1.9297,-16.512253
0.141785,-1.93377,-16.035495
0.142036,-1.93772,-15.557747
0.142286,-1.941551,-15.079039
0.142536,-1.945261,-14.599401
0.142786,-1.948852,-14.118861
0.143036,-1.952322,-13.63745
0.143286,-1.955672,-13.155197
0.143536,-1.958902,-12.672133
0.143786,-1.96201,-12.188287
0.144036,-1.964997,-11.703688
0.144286,-1.967863,-11.218367
0.144536,-1.970608,-10.732353
0.144786,-1.973231,-10.245678
0.145036,-1.975732,-9.75837
0.145286,-1.978111,-9.270459
0.145536,-1.980368,-8.781977
0.145786,-1.982503,-8.292952
0.146037,-1.984516,-7.803416
0.146287,-1.986406,-7.313398
0.146537,-1.988173,-6.822929
0.146787,-1.989818,-6.332039
0.147037,-1.99134,-5.840758
0.147287,-1.992739,-5.349117
0.147537,-1.994015,-4.857145
0.147787,-1.995168,-4.364874
0.148037,-1.996198,-3.872333
0.148287,-1.997105,-3.379553
0.148537,-1.997888,-2.886565
0.148787,-1.998548,-2.393398
0.149037,-1.999085,-1.900084
0.149287,-1.999499,-1.406653
0.149537,-1.999789,-0.913135
0.149787,-1.999955,-0.41956
0.150038,-1.999999,0.074041
0.150288,-1.999918,0.567636
0.150538,-1.999715,1.061197
0.150788,-1.999388,1.554693
0.151038,-1.998937,2.048092
0.151288,-1.998363,2.541365
0.151538,-1.997666,3.034481
0.151788,-1.996846,3.52741
0.152038,-1.995902,4.020122
0.152288,-1.994835,4.512585
0.152538,-1.993645,5.004769
0.152788,-1.992332,5.496645
0.153038,-1.990896,5.988182
0.153288,-1.989337,6.479349
0.153538,-1.987656,6.970116
0.153788,-1.985852,7.460453
0.154039,-1.983925,7.950329
0.154289,-1.981875,8.439715
0.154539,-1.979704,8.92858
0.154789,-1.97741,9.416894
0.155039,-1.974994,9.904627
0.155289,-1.972457,10.391748
0.155539,-1.969797,10.878228
0.155789,-1.967016,11.364037
0.156039,-1.964114,11.849145
0.156289,-1.96109,12.333521
0.156539,-1.957946,12.817136
0.156789,-1.95468,13.29996
0.157039,-1.951294,13.781963
0.157289,-1.947787,14.263116
0.157539,-1.944161,14.743388
0.157789,-1.940414,15.222751
0.15804,-1.936547,15.701174
0.15829,-1.932561,16.178628
0.15854,-1.928456,16.655083
0.15879,-1.924232,17.130511
0.15904,-1.919889,17.604881
0.15929,-1.915427,18.078165
0.15954,-1.910848,18.550333
0.15979,-1.90615,19.021357
0.16004,-1.901335,19.491206
0.16029,-1.896402,19.959853
0.16054,-1.891352,20.427268
0.16079,-1.886186,20.893422
0.16104,-1.880903,21.358286
0.16129,-1.875504,21.821833
0.16154,-1.86999,22.284032
0.16179,-1.86436,22.744857
0.162041,-1.858614,23.204278
0.162291,-1.852755,23.662266
0.162541,-1.84678,24.118795
0.162791,-1.840692,24.573834
0.163041,-1.834491,25.027358
0.163291,-1.828176,25.479336
0.163541,-1.821748,25.929742
0.163791,-1.815208,26.378548
0.164041,-1.808555,26.825726
0.164291,-1.801792,27.271249
0.164541,-1.794917,27.715088
0.164791,-1.787931,28.157217
0.165041,-1.780835,28.597608
0.165291,-1.773629,29.036234
0.165541,-1.766313,29.473069
0.165791,-1.758888,29.908084
0.166042,-1.751355,30.341253
0.166292,-1.743714,30.77255
0.166542,-1.735965,31.201948
0.166792,-1.728109,31.62942
0.167042,-1.720147,32.05494
0.167292,-1.712078,32.478482
0.167542,-1.703904,32.90002
0.167792,-1.695624,33.319527
0.168042,-1.68724,33.736977
0.168292,-1.678752,34.152346
0.168542,-1.67016,34.565607
0.168792,-1.661465,34.976734
0.169042,-1.652667,35.385703
0.169292,-1.643768,35.792488
0.169542,-1.634767,36.197065
0.169792,-1.625665,36.599407
0.170043,-1.616463,36.99949
0.170293,-1.607161,37.39729
0.170543,-1.597759,37.792783
0.170793,-1.58826,38.185942
0.171043,-1.578662,38.576745
0.171293,-1.568967,38.965167
0.171543,-1.559175,39.351185
0.171793,-1.549286,39.734774
0.172043,-1.539302,40.11591
0.172293,-1.529224,40.494571
0.172543,-1.51905,40.870733
0.172793,-1.508783,41.244372
0.173043,-1.498423,41.615466
0.173293,-1.487971,41.983992
0.173543,-1.477426,42.349926
0.173793,-1.466791,42.713247
0.174044,-1.456064,43.073932
0.174294,-1.445248,43.431958
0.174544,-1.434343,43.787304
0.174794,-1.42335,44.139948
0.175044,-1.412268,44.489868
0.175294,-1.401099,44.837042
0.175544,-1.389844,45.181448
0.175794,-1.378503,45.523067
0.176044,-1.367077,45.861875
0.176294,-1.355567,46.197854
0.176544,-1.343973,46.530981
0.176794,-1.332296,46.861237
0.177044,-1.320536,47.1886
0.177294,-1.308696,47.513052
0.177544,-1.296774,47.834571
0.177794,-1.284773,48.153137
0.178045,-1.272692,48.468733
0.178295,-1.260532,48.781336
0.178545,-1.248295,49.090929
0.178795,-1.235981,49.397493
0.179045,-1.223591,49.701008
0.179295,-1.211125,50.001456
0.179545,-1.198584,50.298817
0.179795,-1.185969,50.593075
0.180045,-1.173281,50.88421
0.180295,-1.160521,51.172205
0.180545,-1.147689,51.457041
0.180795,-1.134786,51.738702
0.181045,-1.121814,52.01717
0.181295,-1.108771,52.292428
0.181545,-1.095661,52.564458
0.181795,-1.082483,52.833245
0.182046,-1.069238,53.09877
0.182296,-1.055927,53.361019
0.182546,-1.042551,53.619975
0.182796,-1.029111,53.875621
0.183046,-1.015607,54.127942
0.183296,-1.00204,54.376923
0.183546,-0.988412,54.622548
0.183796,-0.974723,54.864802
0.184046,-0.960973,55.103669
0.184296,-0.947164,55.339136
0.184546,-0.933297,55.571188
0.184796,-0.919372,55.79981
0.185046,-0.90539,56.024989
0.185296,-0.891353,56.24671
0.185546,-0.87726,56.464959
0.185796,-0.863113,56.679724
0.186047,-0.848913,56.890991
0.186297,-0.834661,57.098746
0.186547,-0.820357,57.302978
0.186797,-0.806003,57.503673
0.187047,-0.791598,57.70082
0.187297,-0.777145,57.894405
0.187547,-0.762644,58.084418
0.187797,-0.748096,58.270845
0.188047,-0.733502,58.453677
0.188297,-0.718862,58.632901
0.188547,-0.704178,58.808506
0.188797,-0.689451,58.980482
0.189047,-0.674681,59.148818
0.189297,-0.65987,59.313504
0.189547,-0.645017,59.474529
0.189797,-0.630125,59.631883
0.190048,-0.615194,59.785558
0.190298,-0.600225,59.935542
0.190548,-0.585219,60.081828
0.190798,-0.570177,60.224406
0.191048,-0.5551,60.363267
0.191298,-0.539988,60.498402
0.191548,-0.524843,60.629804
0.191798,-0.509666,60.757464
0.192048,-0.494457,60.881374
0.192298,-0.479218,61.001527
0.192548,-0.463949,61.117916
0.192798,-0.448652,61.230532
0.193048,-0.433327,61.33937
