t_ms,u_cat_D0.029,u_dog_D0.071
1.30815,1.256365,1.150228
1.31066,1.267875,1.158445
1.31316,1.279307,1.166604
1.31566,1.29066,1.174704
1.31816,1.301931,1.182743
1.32066,1.313117,1.190718
1.32316,1.324215,1.198629
1.32566,1.335223,1.206473
1.32816,1.346138,1.214248
1.33067,1.356958,1.221954
1.33317,1.367679,1.229587
1.33567,1.3783,1.237146
1.33817,1.388817,1.24463
1.34067,1.399229,1.252037
1.34317,1.409533,1.259365
1.34567,1.419726,1.266612
1.34817,1.429806,1.273778
1.35068,1.43977,1.280859
1.35318,1.449617,1.287856
1.35568,1.459344,1.294766
1.35818,1.468948,1.301588
1.36068,1.478428,1.30832
1.36318,1.48778,1.314961
1.36568,1.497004,1.321509
1.36818,1.506097,1.327964
1.37069,1.515056,1.334323
1.37319,1.52388,1.340585
1.37569,1.532566,1.346749
1.37819,1.541113,1.352814
1.38069,1.549518,1.358778
1.38319,1.55778,1.36464
1.38569,1.565896,1.370399
1.38819,1.573865,1.376054
1.3907,1.581686,1.381603
1.3932,1.589355,1.387046
1.3957,1.596872,1.392381
1.3982,1.604235,1.397608
1.4007,1.611441,1.402724
1.4032,1.61849,1.40773
1.4057,1.62538,1.412624
1.4082,1.632109,1.417405
1.41071,1.638676,1.422072
1.41321,1.645079,1.426625
1.41571,1.651317,1.431062
1.41821,1.657388,1.435383
1.42071,1.663292,1.439587
1.42321,1.669026,1.443673
1.42571,1.67459,1.447641
1.42821,1.679982,1.451489
1.43072,1.685201,1.455217
1.43322,1.690246,1.458825
1.43572,1.695117,1.462311
1.43822,1.699811,1.465675
1.44072,1.704328,1.468917
1.44322,1.708667,1.472036
1.44572,1.712827,1.475031
1.44822,1.716807,1.477903
1.45073,1.720606,1.48065
1.45323,1.724224,1.483272
1.45573,1.727661,1.48577
1.45823,1.730914,1.488142
1.46073,1.733983,1.490388
1.46323,1.736869,1.492508
1.46573,1.73957,1.494502
1.46823,1.742086,1.496369
1.47074,1.744417,1.49811
1.47324,1.746562,1.499724
1.47574,1.74852,1.501211
1.47824,1.750292,1.502571
1.48074,1.751877,1.503804
1.48324,1.753274,1.50491
1.48574,1.754485,1.505889
1.48824,1.755508,1.506741
1.49075,1.756344,1.507466
1.49325,1.756992,1.508065
1.49575,1.757453,1.508536
1.49825,1.757726,1.508881
1.50075,1.757812,1.5091
1.50325,1.757711,1.509192
1.50575,1.757423,1.509159
1.50825,1.756948,1.509
1.51076,1.756287,1.508717
1.51326,1.75544,1.508308
1.51576,1.754407,1.507774
1.51826,1.753188,1.507117
1.52076,1.751785,1.506336
1.52326,1.750198,1.505432
1.52576,1.748427,1.504405
1.52826,1.746472,1.503256
1.53077,1.744336,1.501985
1.53327,1.742017,1.500594
1.53577,1.739518,1.499082
1.53827,1.736838,1.49745
1.54077,1.733979,1.495699
1.54327,1.730941,1.49383
1.54577,1.727725,1.491844
1.54827,1.724333,1.48974
1.55078,1.720765,1.48752
1.55328,1.717023,1.485185
1.55578,1.713107,1.482736
1.55828,1.709019,1.480173
1.56078,1.704759,1.477497
1.56328,1.700329,1.474709
1.56578,1.695731,1.471811
1.56828,1.690965,1.468802
1.57079,1.686032,1.465685
1.57329,1.680935,1.46246
1.57579,1.675675,1.459128
1.57829,1.670253,1.45569
1.58079,1.66467,1.452147
1.58329,1.658928,1.448501
1.58579,1.653029,1.444753
1.58829,1.646974,1.440903
1.5908,1.640765,1.436953
1.5933,1.634404,1.432904
1.5958,1.627892,1.428757
1.5983,1.621231,1.424514
1.6008,1.614422,1.420175
1.6033,1.607469,1.415743
1.6058,1.600371,1.411218
1.6083,1.593133,1.406602
1.61081,1.585754,1.401896
1.61331,1.578237,1.397101
1.61581,1.570585,1.392219
1.61831,1.562799,1.387251
1.62081,1.554881,1.382199
1.62331,1.546834,1.377063
1.62581,1.538659,1.371847
1.62831,1.530359,1.36655
1.63082,1.521935,1.361175
1.63332,1.51339,1.355722
1.63582,1.504727,1.350194
1.63832,1.495946,1.344593
1.64082,1.487052,1.338918
1.64332,1.478045,1.333173
1.64582,1.468929,1.327358
1.64832,1.459706,1.321476
1.65083,1.450377,1.315528
1.65333,1.440946,1.309515
1.65583,1.431415,1.303439
1.65833,1.421786,1.297302
1.66083,1.412062,1.291106
1.66333,1.402245,1.284851
1.66583,1.392338,1.27854
1.66833,1.382343,1.272175
1.67084,1.372263,1.265757
1.67334,1.3621,1.259288
1.67584,1.351858,1.252769
1.67834,1.341538,1.246202
1.68084,1.331143,1.23959
1.68334,1.320676,1.232933
1.68584,1.31014,1.226234
1.68834,1.299537,1.219493
1.69085,1.288869,1.212714
1.69335,1.278141,1.205898
1.69585,1.267353,1.199046
1.69835,1.256509,1.19216
1.70085,1.245613,1.185242
1.70335,1.234665,1.178294
1.70585,1.22367,1.171318
1.70835,1.21263,1.164315
1.71086,1.201547,1.157288
1.71336,1.190425,1.150237
1.71586,1.179266,1.143165
1.71836,1.168073,1.136073
1.72086,1.156849,1.128964
1.72336,1.145597,1.121839
1.72586,1.134319,1.1147
1.72836,1.123019,1.107549
1.73087,1.111698,1.100387
1.73337,1.10036,1.093216
1.73587,1.089008,1.086039
1.73837,1.077645,1.078856
1.74087,1.066273,1.07167
1.74337,1.054895,1.064482
1.74587,1.043514,1.057295
1.74837,1.032133,1.05011
1.75088,1.020754,1.042928
1.75338,1.009381,1.035752
1.75588,0.998016,1.028583
