f_Hz,H_cat,H_dog
1629.56,0.603044,0.598169
1632.02,0.600152,0.595332
1634.47,0.597284,0.592518
1636.92,0.594438,0.589726
1639.37,0.591616,0.586956
1641.82,0.588816,0.584207
1644.27,0.586038,0.58148
1646.72,0.583282,0.578775
1649.17,0.580548,0.57609
1651.63,0.577835,0.573426
1654.08,0.575144,0.570783
1656.53,0.572473,0.56816
1658.98,0.569824,0.565557
1661.43,0.567195,0.562974
1663.88,0.564586,0.560411
1666.33,0.561997,0.557867
1668.78,0.559428,0.555342
1671.24,0.556879,0.552836
1673.69,0.554349,0.550349
1676.14,0.551839,0.547881
1678.59,0.549347,0.545431
1681.04,0.546875,0.543
1683.49,0.54442,0.540586
1685.94,0.541985,0.53819
1688.39,0.539567,0.535812
1690.85,0.537167,0.533451
1693.3,0.534786,0.531108
1695.75,0.532421,0.528781
1698.2,0.530075,0.526472
1700.65,0.527745,0.524179
1703.1,0.525433,0.521903
1705.55,0.523137,0.519643
1708.0,0.520858,0.5174
1710.46,0.518596,0.515172
1712.91,0.51635,0.512961
1715.36,0.51412,0.510765
1717.81,0.511906,0.508585
1720.26,0.509708,0.50642
1722.71,0.507526,0.50427
1725.16,0.505359,0.502136
1727.61,0.503208,0.500016
1730.07,0.501072,0.497911
1732.52,0.498951,0.495821
1734.97,0.496845,0.493745
1737.42,0.494753,0.491684
1739.87,0.492677,0.489637
1742.32,0.490614,0.487604
1744.77,0.488566,0.485585
1747.22,0.486532,0.48358
1749.67,0.484513,0.481589
1752.13,0.482507,0.479611
1754.58,0.480515,0.477646
1757.03,0.478536,0.475695
1759.48,0.476571,0.473757
1761.93,0.474619,0.471832
1764.38,0.472681,0.469919
1766.83,0.470756,0.46802
1769.28,0.468843,0.466133
1771.74,0.466944,0.464259
1774.19,0.465057,0.462397
1776.64,0.463183,0.460548
1779.09,0.461321,0.45871
1781.54,0.459472,0.456885
1783.99,0.457635,0.455072
1786.44,0.45581,0.45327
1788.89,0.453997,0.45148
1791.35,0.452196,0.449702
1793.8,0.450407,0.447936
1796.25,0.448629,0.44618
1798.7,0.446863,0.444437
1801.15,0.445109,0.442704
1803.6,0.443365,0.440982
1806.05,0.441633,0.439272
1808.5,0.439913,0.437572
1810.96,0.438203,0.435883
1813.41,0.436504,0.434205
1815.86,0.434816,0.432537
1818.31,0.433139,0.43088
1820.76,0.431473,0.429234
1823.21,0.429817,0.427597
1825.66,0.428171,0.425971
1828.11,0.426536,0.424355
1830.57,0.424911,0.422749
1833.02,0.423296,0.421153
1835.47,0.421692,0.419567
1837.92,0.420097,0.417991
1840.37,0.418512,0.416424
1842.82,0.416937,0.414867
1845.27,0.415372,0.41332
1847.72,0.413817,0.411782
1850.18,0.412271,0.410253
1852.63,0.410734,0.408734
1855.08,0.409207,0.407223
1857.53,0.407689,0.405722
1859.98,0.406181,0.40423
1862.43,0.404681,0.402747
1864.88,0.403191,0.401273
1867.33,0.40171,0.399808
1869.78,0.400237,0.398351
1872.24,0.398774,0.396903
1874.69,0.397319,0.395464
1877.14,0.395873,0.394033
1879.59,0.394435,0.392611
1882.04,0.393006,0.391197
1884.49,0.391586,0.389791
1886.94,0.390174,0.388394
