f_Hz,Z_cat_Ohm,Z_dog_Ohm,BP_cat,BP_dog
1304.17,3.37657,3.376633,0.002945,0.006806
1305.8,3.392864,3.392927,0.002931,0.006774
1307.44,3.409143,3.409206,0.002917,0.006741
1309.07,3.425407,3.42547,0.002903,0.006709
1310.7,3.441656,3.441718,0.002889,0.006678
1312.34,3.45789,3.457952,0.002876,0.006646
1313.97,3.47411,3.474171,0.002862,0.006615
1315.61,3.490314,3.490376,0.002849,0.006584
1317.24,3.506504,3.506565,0.002836,0.006554
1318.87,3.522679,3.52274,0.002823,0.006524
1320.51,3.53884,3.5389,0.00281,0.006494
1322.14,3.554986,3.555046,0.002797,0.006465
1323.77,3.571117,3.571177,0.002785,0.006435
1325.41,3.587234,3.587294,0.002772,0.006407
1327.04,3.603337,3.603396,0.00276,0.006378
1328.68,3.619425,3.619484,0.002747,0.00635
1330.31,3.635499,3.635558,0.002735,0.006321
1331.94,3.651558,3.651617,0.002723,0.006294
1333.58,3.667604,3.667662,0.002711,0.006266
1335.21,3.683635,3.683693,0.002699,0.006239
1336.85,3.699652,3.69971,0.002688,0.006212
1338.48,3.715656,3.715713,0.002676,0.006185
1340.11,3.731645,3.731702,0.002665,0.006159
1341.75,3.74762,3.747677,0.002653,0.006132
1343.38,3.763581,3.763638,0.002642,0.006106
1345.02,3.779529,3.779586,0.002631,0.006081
1346.65,3.795463,3.795519,0.00262,0.006055
1348.28,3.811383,3.811439,0.002609,0.00603
1349.92,3.827289,3.827345,0.002598,0.006005
1351.55,3.843182,3.843238,0.002587,0.00598
1353.18,3.859061,3.859117,0.002577,0.005955
1354.82,3.874926,3.874982,0.002566,0.005931
1356.45,3.890779,3.890834,0.002556,0.005907
1358.09,3.906617,3.906672,0.002545,0.005883
1359.72,3.922442,3.922497,0.002535,0.005859
1361.35,3.938254,3.938309,0.002525,0.005836
1362.99,3.954053,3.954107,0.002515,0.005812
1364.62,3.969838,3.969892,0.002505,0.005789
1366.26,3.98561,3.985664,0.002495,0.005766
1367.89,4.001369,4.001423,0.002485,0.005743
1369.52,4.017115,4.017169,0.002475,0.005721
1371.16,4.032848,4.032901,0.002466,0.005699
1372.79,4.048568,4.048621,0.002456,0.005677
1374.42,4.064275,4.064328,0.002447,0.005655
1376.06,4.079969,4.080021,0.002437,0.005633
1377.69,4.09565,4.095702,0.002428,0.005611
1379.33,4.111318,4.11137,0.002419,0.00559
1380.96,4.126974,4.127026,0.002409,0.005569
1382.59,4.142616,4.142668,0.0024,0.005548
1384.23,4.158246,4.158298,0.002391,0.005527
1385.86,4.173864,4.173915,0.002382,0.005506
1387.5,4.189468,4.18952,0.002374,0.005486
1389.13,4.205061,4.205112,0.002365,0.005465
1390.76,4.22064,4.220691,0.002356,0.005445
1392.4,4.236208,4.236258,0.002347,0.005425
1394.03,4.251762,4.251813,0.002339,0.005405
1395.67,4.267305,4.267355,0.00233,0.005386
1397.3,4.282835,4.282885,0.002322,0.005366
1398.93,4.298353,4.298403,0.002313,0.005347
1400.57,4.313858,4.313908,0.002305,0.005327
1402.2,4.329351,4.329401,0.002297,0.005308
1403.83,4.344833,4.344882,0.002289,0.005289
1405.47,4.360302,4.360351,0.002281,0.005271
1407.1,4.375759,4.375808,0.002273,0.005252
1408.74,4.391204,4.391252,0.002265,0.005234
1410.37,4.406636,4.406685,0.002257,0.005215
1412.0,4.422057,4.422106,0.002249,0.005197
1413.64,4.437466,4.437515,0.002241,0.005179
1415.27,4.452864,4.452912,0.002233,0.005161
1416.91,4.468249,4.468297,0.002225,0.005143
1418.54,4.483622,4.48367,0.002218,0.005126
1420.17,4.498984,4.499032,0.00221,0.005108
1421.81,4.514334,4.514382,0.002203,0.005091
1423.44,4.529673,4.52972,0.002195,0.005074
1425.08,4.544999,4.545047,0.002188,0.005057
1426.71,4.560315,4.560362,0.002181,0.00504
1428.34,4.575618,4.575665,0.002173,0.005023
1429.98,4.59091,4.590957,0.002166,0.005006
1431.61,4.606191,4.606238,0.002159,0.004989
1433.24,4.62146,4.621507,0.002152,0.004973
1434.88,4.636718,4.636764,0.002145,0.004957
1436.51,4.651964,4.652011,0.002138,0.00494
1438.15,4.6672,4.667246,0.002131,0.004924
1439.78,4.682423,4.682469,0.002124,0.004908
1441.41,4.697636,4.697682,0.002117,0.004892
1443.05,4.712837,4.712883,0.00211,0.004876
1444.68,4.728028,4.728073,0.002103,0.004861
1446.32,4.743207,4.743252,0.002096,0.004845
1447.95,4.758375,4.75842,0.00209,0.00483
1449.58,4.773532,4.773577,0.002083,0.004814
1451.22,4.788678,4.788723,0.002077,0.004799
1452.85,4.803813,4.803857,0.00207,0.004784
1454.48,4.818937,4.818981,0.002064,0.004769
1456.12,4.83405,4.834094,0.002057,0.004754
1457.75,4.849152,4.849197,0.002051,0.004739
1459.39,4.864244,4.864288,0.002044,0.004725
1461.02,4.879324,4.879368,0.002038,0.00471
1462.65,4.894394,4.894438,0.002032,0.004696
1464.29,4.909454,4.909497,0.002025,0.004681
1465.92,4.924502,4.924546,0.002019,0.004667
1467.56,4.93954,4.939583,0.002013,0.004653
1469.19,4.954567,4.95461,0.002007,0.004639
1470.82,4.969584,4.969627,0.002001,0.004625
1472.46,4.98459,4.984633,0.001995,0.004611
1474.09,4.999586,4.999628,0.001989,0.004597
1475.73,5.014571,5.014614,0.001983,0.004583
1477.36,5.029545,5.029588,0.001977,0.004569
1478.99,5.04451,5.044552,0.001971,0.004556
1480.63,5.059464,5.059506,0.001965,0.004542
1482.26,5.074407,5.07445,0.00196,0.004529
1483.89,5.089341,5.089383,0.001954,0.004516
1485.53,5.104264,5.104306,0.001948,0.004503
1487.16,5.119176,5.119218,0.001942,0.004489
1488.8,5.134079,5.134121,0.001937,0.004476
1490.43,5.148971,5.149013,0.001931,0.004463
1492.06,5.163854,5.163895,0.001926,0.004451
1493.7,5.178726,5.178767,0.00192,0.004438
1495.33,5.193588,5.193629,0.001915,0.004425
1496.97,5.20844,5.208481,0.001909,0.004412
1498.6,5.223282,5.223323,0.001904,0.0044
1500.23,5.238114,5.238155,0.001898,0.004387
1501.87,5.252937,5.252977,0.001893,0.004375
1503.5,5.267749,5.26779,0.001888,0.004363
1505.14,5.282551,5.282592,0.001882,0.004351
1506.77,5.297344,5.297384,0.001877,0.004338
1508.4,5.312127,5.312167,0.001872,0.004326
1510.04,5.3269,5.32694,0.001867,0.004314
1511.67,5.341663,5.341703,0.001862,0.004302
1513.3,5.356417,5.356457,0.001856,0.004291
1514.94,5.37116,5.3712,0.001851,0.004279
1516.57,5.385895,5.385934,0.001846,0.004267
1518.21,5.400619,5.400659,0.001841,0.004255
1519.84,5.415334,5.415374,0.001836,0.004244
1521.47,5.43004,5.430079,0.001831,0.004232
1523.11,5.444736,5.444775,0.001826,0.004221
1524.74,5.459422,5.459461,0.001821,0.00421
1526.38,5.474099,5.474138,0.001817,0.004198
1528.01,5.488767,5.488806,0.001812,0.004187
1529.64,5.503425,5.503464,0.001807,0.004176
1531.28,5.518074,5.518112,0.001802,0.004165
1532.91,5.532713,5.532752,0.001797,0.004154
1534.54,5.547343,5.547382,0.001793,0.004143
1536.18,5.561964,5.562003,0.001788,0.004132
1537.81,5.576576,5.576614,0.001783,0.004121
1539.45,5.591178,5.591216,0.001779,0.00411
1541.08,5.605771,5.605809,0.001774,0.0041
1542.71,5.620355,5.620393,0.001769,0.004089
1544.35,5.63493,5.634968,0.001765,0.004078
1545.98,5.649496,5.649534,0.00176,0.004068
1547.62,5.664052,5.66409,0.001756,0.004058
1549.25,5.6786,5.678638,0.001751,0.004047
1550.88,5.693139,5.693176,0.001747,0.004037
1552.52,5.707668,5.707706,0.001742,0.004027
1554.15,5.722189,5.722226,0.001738,0.004016
1555.79,5.736701,5.736738,0.001733,0.004006
1557.42,5.751203,5.751241,0.001729,0.003996
1559.05,5.765697,5.765735,0.001725,0.003986
1560.69,5.780182,5.780219,0.00172,0.003976
1562.32,5.794659,5.794696,0.001716,0.003966
1563.95,5.809126,5.809163,0.001712,0.003956
1565.59,5.823585,5.823622,0.001708,0.003946
1567.22,5.838035,5.838071,0.001703,0.003937
1568.86,5.852476,5.852513,0.001699,0.003927
1570.49,5.866908,5.866945,0.001695,0.003917
1572.12,5.881332,5.881369,0.001691,0.003908
1573.76,5.895748,5.895784,0.001687,0.003898
1575.39,5.910154,5.91019,0.001683,0.003889
1577.03,5.924552,5.924588,0.001678,0.003879
1578.66,5.938942,5.938978,0.001674,0.00387
1580.29,5.953323,5.953359,0.00167,0.00386
1581.93,5.967695,5.967731,0.001666,0.003851
1583.56,5.982059,5.982095,0.001662,0.003842
1585.2,5.996415,5.99645,0.001658,0.003833
1586.83,6.010762,6.010798,0.001654,0.003823
1588.46,6.025101,6.025136,0.00165,0.003814
1590.1,6.039431,6.039466,0.001647,0.003805
1591.73,6.053753,6.053788,0.001643,0.003796
1593.36,6.068067,6.068102,0.001639,0.003787
1595.0,6.082372,6.082407,0.001635,0.003778
1596.63,6.096669,6.096704,0.001631,0.00377
1598.27,6.110958,6.110993,0.001627,0.003761
1599.9,6.125239,6.125274,0.001623,0.003752
1601.53,6.139511,6.139546,0.00162,0.003743
1603.17,6.153776,6.15381,0.001616,0.003735
1604.8,6.168032,6.168067,0.001612,0.003726
1606.44,6.18228,6.182315,0.001608,0.003717
1608.07,6.19652,6.196554,0.001605,0.003709
1609.7,6.210752,6.210786,0.001601,0.0037
1611.34,6.224976,6.22501,0.001597,0.003692
1612.97,6.239191,6.239226,0.001594,0.003683
1614.6,6.253399,6.253434,0.00159,0.003675
1616.24,6.267599,6.267633,0.001587,0.003667
1617.87,6.281791,6.281825,0.001583,0.003659
1619.51,6.295975,6.296009,0.001579,0.00365
1621.14,6.310151,6.310185,0.001576,0.003642
1622.77,6.324319,6.324353,0.001572,0.003634
1624.41,6.33848,6.338514,0.001569,0.003626
1626.04,6.352632,6.352666,0.001565,0.003618
1627.68,6.366777,6.366811,0.001562,0.00361
1629.31,6.380914,6.380948,0.001558,0.003602
1630.94,6.395043,6.395077,0.001555,0.003594
1632.58,6.409165,6.409198,0.001552,0.003586
1634.21,6.423279,6.423312,0.001548,0.003578
1635.85,6.437385,6.437418,0.001545,0.00357
1637.48,6.451483,6.451516,0.001541,0.003562
1639.11,6.465574,6.465607,0.001538,0.003555
1640.75,6.479657,6.47969,0.001535,0.003547
1642.38,6.493733,6.493766,0.001531,0.003539
1644.01,6.507801,6.507834,0.001528,0.003531
1645.65,6.521861,6.521894,0.001525,0.003524
1647.28,6.535914,6.535947,0.001521,0.003516
1648.92,6.54996,6.549992,0.001518,0.003509
1650.55,6.563998,6.56403,0.001515,0.003501
1652.18,6.578028,6.578061,0.001512,0.003494
1653.82,6.592051,6.592084,0.001508,0.003486
1655.45,6.606067,6.606099,0.001505,0.003479
1657.09,6.620075,6.620107,0.001502,0.003472
1658.72,6.634076,6.634108,0.001499,0.003464
1660.35,6.648069,6.648102,0.001496,0.003457
1661.99,6.662056,6.662088,0.001493,0.00345
1663.62,6.676034,6.676067,0.001489,0.003442
1665.26,6.690006,6.690038,0.001486,0.003435
1666.89,6.70397,6.704002,0.001483,0.003428
1668.52,6.717927,6.717959,0.00148,0.003421
1670.16,6.731877,6.731909,0.001477,0.003414
1671.79,6.74582,6.745852,0.001474,0.003407
1673.42,6.759755,6.759787,0.001471,0.0034
1675.06,6.773684,6.773715,0.001468,0.003393
1676.69,6.787605,6.787637,0.001465,0.003386
1678.33,6.801519,6.801551,0.001462,0.003379
1679.96,6.815426,6.815457,0.001459,0.003372
1681.59,6.829326,6.829357,0.001456,0.003365
1683.23,6.843219,6.84325,0.001453,0.003358
1684.86,6.857105,6.857136,0.00145,0.003352
1686.5,6.870983,6.871015,0.001447,0.003345
1688.13,6.884855,6.884886,0.001444,0.003338
1689.76,6.89872,6.898751,0.001441,0.003331
1691.4,6.912578,6.912609,0.001439,0.003325
1693.03,6.926429,6.92646,0.001436,0.003318
1694.66,6.940273,6.940304,0.001433,0.003311
1696.3,6.95411,6.954141,0.00143,0.003305
1697.93,6.96794,6.967971,0.001427,0.003298
1699.57,6.981764,6.981794,0.001424,0.003292
1701.2,6.99558,6.995611,0.001421,0.003285
1702.83,7.00939,7.009421,0.001419,0.003279
1704.47,7.023193,7.023224,0.001416,0.003272
1706.1,7.036989,7.03702,0.001413,0.003266
1707.74,7.050779,7.050809,0.00141,0.00326
1709.37,7.064561,7.064592,0.001408,0.003253
1711.0,7.078337,7.078368,0.001405,0.003247
1712.64,7.092107,7.092137,0.001402,0.003241
1714.27,7.105869,7.105899,0.001399,0.003234
1715.91,7.119625,7.119655,0.001397,0.003228
1717.54,7.133374,7.133405,0.001394,0.003222
1719.17,7.147117,7.147147,0.001391,0.003216
1720.81,7.160853,7.160883,0.001389,0.003209
1722.44,7.174583,7.174613,0.001386,0.003203
1724.07,7.188306,7.188336,0.001383,0.003197
1725.71,7.202022,7.202052,0.001381,0.003191
1727.34,7.215732,7.215762,0.001378,0.003185
1728.98,7.229435,7.229465,0.001375,0.003179
1730.61,7.243132,7.243162,0.001373,0.003173
1732.24,7.256823,7.256852,0.00137,0.003167
1733.88,7.270507,7.270536,0.001368,0.003161
1735.51,7.284184,7.284214,0.001365,0.003155
1737.15,7.297855,7.297885,0.001363,0.003149
1738.78,7.31152,7.311549,0.00136,0.003143
