alpha_pct,Keff_p10bar_MPa,Keff_p50bar_MPa,Keff_p100bar_MPa,Keff_p200bar_MPa,Keff_p350bar_MPa
0.852,108.944,425.980,678.078,989.465,1283.995
0.862,107.767,422.374,673.502,984.584,1279.293
0.872,106.616,418.829,668.987,979.751,1274.624
0.882,105.489,415.343,664.533,974.966,1269.990
0.892,104.386,411.914,660.137,970.227,1265.389
0.902,103.305,408.542,655.799,965.533,1260.822
0.912,102.247,405.224,651.518,960.885,1256.287
0.922,101.210,401.960,647.292,956.282,1251.785
0.932,100.194,398.748,643.121,951.722,1247.315
0.942,99.198,395.587,639.003,947.205,1242.877
0.952,98.221,392.475,634.938,942.732,1238.470
0.962,97.264,389.413,630.924,938.300,1234.095
0.972,96.325,386.397,626.960,933.910,1229.750
0.982,95.405,383.428,623.046,929.560,1225.436
0.992,94.501,380.504,619.181,925.251,1221.151
1.002,93.615,377.625,615.363,920.982,1216.897
1.012,92.745,374.789,611.592,916.752,1212.672
1.022,91.891,371.995,607.867,912.561,1208.477
1.032,91.053,369.242,604.187,908.408,1204.310
1.042,90.229,366.530,600.551,904.292,1200.172
1.052,89.421,363.857,596.959,900.214,1196.063
1.062,88.627,361.223,593.409,896.172,1191.981
1.072,87.847,358.627,589.902,892.166,1187.928
1.082,87.080,356.068,586.436,888.196,1183.901
1.092,86.327,353.545,583.010,884.261,1179.902
1.102,85.587,351.058,579.624,880.361,1175.930
1.112,84.859,348.606,576.277,876.495,1171.984
1.122,84.143,346.187,572.968,872.663,1168.065
1.132,83.440,343.802,569.698,868.864,1164.172
1.142,82.748,341.449,566.464,865.099,1160.305
1.152,82.068,339.129,563.267,861.365,1156.464
1.162,81.398,336.840,560.106,857.664,1152.647
1.172,80.740,334.581,556.980,853.995,1148.856
1.182,80.092,332.353,553.888,850.356,1145.090
1.192,79.454,330.154,550.831,846.749,1141.348
1.202,78.827,327.984,547.808,843.172,1137.631
1.212,78.209,325.842,544.817,839.625,1133.938
1.222,77.601,323.728,541.859,836.108,1130.269
1.232,77.002,321.641,538.933,832.620,1126.623
1.242,76.412,319.581,536.038,829.161,1123.001
1.253,75.832,317.548,533.175,825.731,1119.402
1.263,75.260,315.540,530.341,822.329,1115.826
1.273,74.697,313.557,527.538,818.955,1112.273
1.283,74.142,311.599,524.764,815.609,1108.743
1.293,73.595,309.665,522.019,812.290,1105.235
1.303,73.056,307.755,519.303,808.997,1101.749
1.313,72.525,305.869,516.615,805.732,1098.284
1.323,72.002,304.006,513.954,802.492,1094.842
1.333,71.486,302.165,511.321,799.279,1091.421
1.343,70.978,300.346,508.715,796.091,1088.021
1.353,70.477,298.549,506.135,792.928,1084.643
1.363,69.982,296.773,503.581,789.791,1081.285
1.373,69.495,295.019,501.053,786.678,1077.948
1.383,69.015,293.285,498.550,783.590,1074.632
1.393,68.541,291.571,496.071,780.526,1071.336
1.403,68.073,289.877,493.618,777.485,1068.060
1.413,67.612,288.203,491.188,774.468,1064.804
1.423,67.157,286.548,488.783,771.475,1061.568
1.433,66.708,284.912,486.401,768.505,1058.352
1.443,66.265,283.295,484.041,765.557,1055.155
1.453,65.828,281.695,481.705,762.632,1051.977
1.463,65.397,280.114,479.391,759.729,1048.818
1.473,64.971,278.550,477.099,756.849,1045.678
1.483,64.551,277.004,474.830,753.990,1042.557
1.493,64.136,275.475,472.581,751.152,1039.455
1.503,63.726,273.963,470.354,748.336,1036.371
1.513,63.322,272.467,468.147,745.541,1033.305
1.523,62.923,270.987,465.962,742.766,1030.257
1.533,62.529,269.523,463.796,740.013,1027.228
1.543,62.139,268.075,461.651,737.279,1024.216
1.553,61.755,266.643,459.525,734.566,1021.221
1.563,61.375,265.226,457.419,731.872,1018.244
1.573,61.000,263.823,455.332,729.199,1015.284
1.583,60.629,262.436,453.264,726.544,1012.342
1.593,60.263,261.063,451.215,723.909,1009.417
1.603,59.901,259.704,449.184,721.293,1006.508
1.613,59.544,258.360,447.171,718.696,1003.616
1.623,59.191,257.029,445.177,716.118,1000.741
1.633,58.842,255.712,443.200,713.558,997.882
1.643,58.497,254.408,441.240,711.016,995.039
1.653,58.156,253.117,439.298,708.492,992.213
1.663,57.819,251.840,437.373,705.986,989.402
1.673,57.486,250.575,435.464,703.498,986.608
1.683,57.157,249.323,433.572,701.027,983.829
1.693,56.831,248.084,431.697,698.573,981.065
1.703,56.510,246.857,429.838,696.137,978.318
1.713,56.191,245.641,427.994,693.718,975.585
1.723,55.877,244.438,426.167,691.315,972.868
1.733,55.566,243.246,424.355,688.929,970.166
1.743,55.258,242.066,422.558,686.559,967.479
1.754,54.954,240.898,420.776,684.206,964.807
1.764,54.653,239.741,419.010,681.868,962.149
1.774,54.355,238.594,417.258,679.547,959.506
1.784,54.061,237.459,415.521,677.241,956.878
1.794,53.769,236.334,413.798,674.951,954.263
1.804,53.481,235.220,412.089,672.676,951.664
1.814,53.196,234.117,410.394,670.417,949.078
1.824,52.914,233.023,408.714,668.173,946.506
1.834,52.635,231.940,407.047,665.943,943.948
1.844,52.359,230.867,405.393,663.729,941.404
1.854,52.086,229.804,403.753,661.529,938.874
1.864,51.815,228.750,402.126,659.344,936.357
1.874,51.548,227.707,400.513,657.173,933.854
1.884,51.283,226.672,398.912,655.017,931.364
1.894,51.021,225.647,397.324,652.874,928.887
1.904,50.761,224.631,395.748,650.745,926.423
1.914,50.504,223.625,394.185,648.631,923.973
1.924,50.250,222.627,392.634,646.530,921.535
1.934,49.998,221.638,391.095,644.442,919.110
1.944,49.749,220.658,389.569,642.368,916.698
1.954,49.502,219.687,388.054,640.308,914.299
1.964,49.258,218.724,386.551,638.260,911.912
1.974,49.016,217.769,385.060,636.226,909.537
1.984,48.776,216.823,383.580,634.204,907.175
1.994,48.539,215.885,382.111,632.195,904.825
2.004,48.304,214.955,380.654,630.199,902.487
2.014,48.072,214.033,379.207,628.216,900.161
2.024,47.841,213.119,377.772,626.245,897.848
2.034,47.613,212.212,376.347,624.286,895.546
2.044,47.387,211.314,374.933,622.340,893.256
2.054,47.163,210.423,373.530,620.405,890.977
2.064,46.941,209.539,372.137,618.483,888.710
2.074,46.721,208.663,370.755,616.572,886.455
2.084,46.504,207.794,369.382,614.674,884.211
2.094,46.288,206.932,368.020,612.787,881.978
2.104,46.074,206.078,366.668,610.911,879.757
2.114,45.862,205.230,365.326,609.047,877.547
2.124,45.653,204.389,363.994,607.194,875.348
2.134,45.445,203.556,362.671,605.353,873.159
2.144,45.239,202.729,361.358,603.522,870.982
2.154,45.035,201.908,360.054,601.703,868.816
2.164,44.832,201.095,358.760,599.895,866.660
2.174,44.632,200.288,357.475,598.097,864.515
2.184,44.433,199.487,356.199,596.310,862.381
2.194,44.236,198.693,354.932,594.534,860.257
2.204,44.041,197.905,353.674,592.768,858.143
2.214,43.847,197.123,352.425,591.013,856.040
2.224,43.656,196.347,351.185,589.268,853.948
2.234,43.466,195.578,349.954,587.534,851.865
2.244,43.277,194.814,348.731,585.809,849.793
2.255,43.090,194.056,347.516,584.095,847.730
2.265,42.905,193.305,346.311,582.391,845.678
2.275,42.721,192.559,345.113,580.697,843.635
2.285,42.539,191.819,343.924,579.012,841.603
2.295,42.359,191.084,342.743,577.337,839.580
2.305,42.180,190.355,341.569,575.672,837.567
2.315,42.002,189.632,340.404,574.017,835.563
2.325,41.826,188.914,339.247,572.371,833.569
2.335,41.652,188.201,338.098,570.734,831.584
2.345,41.478,187.494,336.956,569.107,829.609
2.355,41.307,186.792,335.823,567.489,827.644
2.365,41.136,186.096,334.696,565.880,825.687
2.375,40.968,185.404,333.578,564.280,823.740
2.385,40.800,184.718,332.466,562.689,821.802
2.395,40.634,184.037,331.363,561.107,819.873
2.405,40.469,183.360,330.266,559.534,817.953
2.415,40.306,182.689,329.177,557.970,816.042
2.425,40.144,182.023,328.094,556.415,814.140
2.435,39.983,181.361,327.019,554.868,812.247
2.445,39.823,180.704,325.951,553.330,810.363
2.455,39.665,180.052,324.890,551.800,808.487
2.465,39.508,179.405,323.836,550.279,806.620
2.475,39.352,178.762,322.789,548.766,804.762
2.485,39.198,178.124,321.748,547.261,802.912
2.495,39.044,177.491,320.714,545.765,801.071
2.505,38.892,176.861,319.687,544.277,799.238
2.515,38.741,176.237,318.666,542.797,797.413
2.525,38.591,175.617,317.652,541.325,795.597
2.535,38.443,175.001,316.644,539.860,793.789
2.545,38.295,174.389,315.642,538.404,791.989
2.555,38.149,173.782,314.647,536.956,790.197
2.565,38.004,173.179,313.658,535.515,788.414
2.575,37.859,172.580,312.676,534.082,786.638
2.585,37.716,171.985,311.699,532.657,784.871
2.595,37.574,171.394,310.729,531.239,783.111
2.605,37.433,170.808,309.764,529.829,781.359
2.615,37.293,170.225,308.806,528.427,779.615
2.625,37.155,169.646,307.853,527.031,777.879
2.635,37.017,169.071,306.906,525.643,776.151
2.645,36.880,168.500,305.965,524.263,774.430
2.655,36.744,167.933,305.030,522.889,772.717
2.665,36.609,167.370,304.101,521.523,771.011
2.675,36.476,166.811,303.177,520.164,769.313
2.685,36.343,166.255,302.259,518.812,767.622
2.695,36.211,165.703,301.346,517.467,765.939
2.705,36.080,165.154,300.439,516.129,764.263
2.715,35.950,164.609,299.537,514.798,762.595
2.725,35.821,164.068,298.641,513.473,760.933
2.735,35.693,163.531,297.750,512.156,759.279
2.745,35.566,162.996,296.864,510.845,757.632
2.756,35.439,162.466,295.984,509.541,755.993
2.766,35.314,161.938,295.109,508.243,754.360
2.776,35.190,161.415,294.238,506.953,752.734
2.786,35.066,160.894,293.374,505.668,751.116
2.796,34.943,160.377,292.514,504.390,749.504
2.806,34.821,159.863,291.659,503.119,747.899
2.816,34.700,159.353,290.809,501.854,746.301
2.826,34.580,158.846,289.964,500.595,744.710
2.836,34.460,158.341,289.124,499.343,743.126
2.846,34.342,157.841,288.289,498.097,741.548
2.856,34.224,157.343,287.458,496.857,739.977
2.866,34.107,156.848,286.633,495.623,738.413
2.876,33.991,156.357,285.812,494.396,736.855
2.886,33.876,155.868,284.996,493.174,735.304
2.896,33.761,155.383,284.184,491.959,733.760
2.906,33.647,154.901,283.377,490.749,732.221
2.916,33.534,154.421,282.575,489.545,730.690
2.926,33.422,153.945,281.777,488.348,729.164
2.936,33.310,153.472,280.984,487.156,727.645
2.946,33.199,153.001,280.195,485.970,726.133
2.956,33.089,152.533,279.410,484.789,724.626
2.966,32.980,152.068,278.630,483.615,723.126
2.976,32.871,151.606,277.855,482.446,721.632
2.986,32.764,151.147,277.083,481.283,720.145
2.996,32.656,150.691,276.316,480.125,718.663
3.006,32.550,150.237,275.553,478.973,717.187
3.016,32.444,149.786,274.794,477.826,715.718
3.026,32.339,149.338,274.040,476.685,714.254
3.036,32.234,148.892,273.289,475.549,712.797
3.046,32.131,148.449,272.543,474.419,711.345
3.056,32.028,148.009,271.801,473.294,709.899
3.066,31.925,147.571,271.063,472.174,708.460
3.076,31.823,147.136,270.328,471.060,707.026
3.086,31.722,146.704,269.598,469.951,705.597
3.096,31.622,146.274,268.872,468.847,704.175
3.106,31.522,145.846,268.149,467.748,702.758
3.116,31.422,145.421,267.431,466.655,701.347
3.126,31.324,144.998,266.716,465.566,699.942
3.136,31.226,144.578,266.005,464.483,698.542
3.146,31.128,144.161,265.298,463.405,697.148
3.156,31.032,143.745,264.595,462.331,695.759
3.166,30.935,143.332,263.895,461.263,694.376
3.176,30.840,142.922,263.199,460.199,692.998
3.186,30.745,142.514,262.507,459.141,691.626
3.196,30.650,142.108,261.818,458.087,690.260
3.206,30.557,141.704,261.133,457.038,688.898
3.216,30.463,141.303,260.452,455.994,687.542
3.226,30.371,140.904,259.774,454.955,686.192
3.236,30.278,140.507,259.099,453.920,684.846
3.246,30.187,140.113,258.428,452.890,683.506
3.257,30.096,139.720,257.761,451.865,682.171
3.267,30.005,139.330,257.097,450.844,680.842
3.277,29.915,138.942,256.436,449.828,679.517
3.287,29.826,138.557,255.779,448.817,678.198
3.297,29.737,138.173,255.125,447.810,676.884
3.307,29.649,137.791,254.475,446.807,675.574
3.317,29.561,137.412,253.827,445.809,674.270
3.327,29.474,137.035,253.183,444.816,672.971
3.337,29.387,136.659,252.543,443.827,671.677
3.347,29.301,136.286,251.905,442.842,670.388
3.357,29.215,135.915,251.271,441.862,669.104
3.367,29.130,135.546,250.640,440.886,667.825
3.377,29.045,135.178,250.012,439.914,666.550
3.387,28.961,134.813,249.387,438.946,665.281
3.397,28.877,134.450,248.766,437.983,664.016
3.407,28.793,134.089,248.147,437.024,662.756
3.417,28.711,133.729,247.532,436.070,661.501
3.427,28.628,133.372,246.919,435.119,660.251
3.437,28.546,133.016,246.310,434.172,659.005
3.447,28.465,132.663,245.703,433.230,657.764
3.457,28.384,132.311,245.100,432.292,656.528
3.467,28.303,131.961,244.500,431.358,655.296
3.477,28.223,131.613,243.902,430.427,654.069
3.487,28.144,131.267,243.307,429.501,652.847
3.497,28.065,130.922,242.716,428.579,651.629
3.507,27.986,130.580,242.127,427.661,650.415
3.517,27.908,130.239,241.541,426.746,649.206
3.527,27.830,129.900,240.958,425.836,648.002
3.537,27.753,129.563,240.377,424.929,646.802
3.547,27.676,129.227,239.800,424.027,645.607
3.557,27.599,128.893,239.225,423.128,644.416
3.567,27.523,128.561,238.653,422.233,643.229
3.577,27.447,128.231,238.083,421.341,642.047
3.587,27.372,127.902,237.517,420.454,640.869
3.597,27.297,127.575,236.953,419.570,639.695
3.607,27.223,127.250,236.392,418.690,638.526
3.617,27.149,126.926,235.833,417.813,637.360
3.627,27.075,126.604,235.277,416.941,636.200
3.637,27.002,126.284,234.724,416.072,635.043
