P_bar,eta_Mineralöl VG 10   (α_P = 1.5e-8 /Pa)_Pas,eta_Mineralöl VG 46   (α_P = 2.0e-8 /Pa)_Pas,eta_Mineralöl VG 100  (α_P = 2.5e-8 /Pa)_Pas,eta_Phosphatester HEP (α_P = 1.0e-8 /Pa)_Pas,eta_PAO / SHC         (α_P = 1.8e-8 /Pa)_Pas,f_R_Mineralöl VG 10   (α_P = 1.5e-8 /Pa)_Hz,f_R_Mineralöl VG 46   (α_P = 2.0e-8 /Pa)_Hz,f_R_Mineralöl VG 100  (α_P = 2.5e-8 /Pa)_Hz,f_R_Phosphatester HEP (α_P = 1.0e-8 /Pa)_Hz,f_R_PAO / SHC         (α_P = 1.8e-8 /Pa)_Hz
479.6,0.094447,2.880e+09,0.120042,2.266e+09,0.152572,1.783e+09,0.074310,3.660e+09,0.109062,2.494e+09
481.6,0.094732,2.871e+09,0.120524,2.257e+09,0.153340,1.774e+09,0.074459,3.653e+09,0.109457,2.485e+09
483.6,0.095017,2.862e+09,0.121009,2.248e+09,0.154111,1.765e+09,0.074608,3.645e+09,0.109853,2.476e+09
485.6,0.095304,2.854e+09,0.121496,2.239e+09,0.154886,1.756e+09,0.074758,3.638e+09,0.110251,2.467e+09
487.6,0.095591,2.845e+09,0.121984,2.230e+09,0.155665,1.747e+09,0.074908,3.631e+09,0.110649,2.458e+09
489.6,0.095879,2.837e+09,0.122475,2.221e+09,0.156448,1.738e+09,0.075059,3.623e+09,0.111050,2.449e+09
491.6,0.096168,2.828e+09,0.122967,2.212e+09,0.157235,1.730e+09,0.075210,3.616e+09,0.111452,2.440e+09
493.6,0.096458,2.820e+09,0.123462,2.203e+09,0.158025,1.721e+09,0.075361,3.609e+09,0.111855,2.431e+09
495.7,0.096749,2.811e+09,0.123958,2.194e+09,0.158820,1.712e+09,0.075512,3.602e+09,0.112260,2.423e+09
497.7,0.097041,2.803e+09,0.124457,2.185e+09,0.159619,1.704e+09,0.075664,3.595e+09,0.112666,2.414e+09
499.7,0.097333,2.794e+09,0.124957,2.177e+09,0.160422,1.695e+09,0.075816,3.587e+09,0.113074,2.405e+09
501.7,0.097627,2.786e+09,0.125460,2.168e+09,0.161228,1.687e+09,0.075968,3.580e+09,0.113483,2.397e+09
503.7,0.097921,2.777e+09,0.125964,2.159e+09,0.162039,1.678e+09,0.076121,3.573e+09,0.113893,2.388e+09
505.7,0.098216,2.769e+09,0.126471,2.150e+09,0.162854,1.670e+09,0.076274,3.566e+09,0.114306,2.379e+09
507.7,0.098512,2.761e+09,0.126980,2.142e+09,0.163673,1.662e+09,0.076427,3.559e+09,0.114719,2.371e+09
509.7,0.098809,2.753e+09,0.127490,2.133e+09,0.164496,1.653e+09,0.076580,3.551e+09,0.115134,2.362e+09
511.7,0.099107,2.744e+09,0.128003,2.125e+09,0.165324,1.645e+09,0.076734,3.544e+09,0.115551,2.354e+09
513.7,0.099406,2.736e+09,0.128518,2.116e+09,0.166155,1.637e+09,0.076888,3.537e+09,0.115969,2.345e+09
515.7,0.099705,2.728e+09,0.129034,2.108e+09,0.166991,1.629e+09,0.077043,3.530e+09,0.116389,2.337e+09
517.7,0.100006,2.720e+09,0.129553,2.099e+09,0.167831,1.621e+09,0.077198,3.523e+09,0.116810,2.328e+09
519.7,0.100307,2.711e+09,0.130074,2.091e+09,0.168675,1.612e+09,0.077353,3.516e+09,0.117233,2.320e+09
521.7,0.100610,2.703e+09,0.130597,2.083e+09,0.169523,1.604e+09,0.077508,3.509e+09,0.117657,2.312e+09
523.7,0.100913,2.695e+09,0.131123,2.074e+09,0.170376,1.596e+09,0.077664,3.502e+09,0.118083,2.303e+09
525.8,0.101217,2.687e+09,0.131650,2.066e+09,0.171233,1.588e+09,0.077820,3.495e+09,0.118510,2.295e+09
527.8,0.101522,2.679e+09,0.132179,2.058e+09,0.172094,1.580e+09,0.077976,3.488e+09,0.118939,2.287e+09
529.8,0.101829,2.671e+09,0.132711,2.049e+09,0.172959,1.572e+09,0.078133,3.481e+09,0.119369,2.278e+09
531.8,0.102135,2.663e+09,0.133245,2.041e+09,0.173829,1.565e+09,0.078290,3.474e+09,0.119801,2.270e+09
533.8,0.102443,2.655e+09,0.133780,2.033e+09,0.174703,1.557e+09,0.078447,3.467e+09,0.120235,2.262e+09
535.8,0.102752,2.647e+09,0.134318,2.025e+09,0.175582,1.549e+09,0.078604,3.460e+09,0.120670,2.254e+09
537.8,0.103062,2.639e+09,0.134859,2.017e+09,0.176465,1.541e+09,0.078762,3.453e+09,0.121106,2.246e+09
539.8,0.103373,2.631e+09,0.135401,2.009e+09,0.177353,1.534e+09,0.078920,3.446e+09,0.121544,2.238e+09
541.8,0.103684,2.623e+09,0.135945,2.001e+09,0.178245,1.526e+09,0.079079,3.439e+09,0.121984,2.230e+09
543.8,0.103997,2.615e+09,0.136492,1.993e+09,0.179141,1.518e+09,0.079238,3.432e+09,0.122426,2.222e+09
545.8,0.104310,2.607e+09,0.137041,1.985e+09,0.180042,1.511e+09,0.079397,3.425e+09,0.122869,2.214e+09
547.8,0.104625,2.600e+09,0.137592,1.977e+09,0.180947,1.503e+09,0.079557,3.419e+09,0.123313,2.206e+09
549.8,0.104940,2.592e+09,0.138145,1.969e+09,0.181857,1.496e+09,0.079716,3.412e+09,0.123760,2.198e+09
551.8,0.105257,2.584e+09,0.138701,1.961e+09,0.182772,1.488e+09,0.079876,3.405e+09,0.124207,2.190e+09
553.8,0.105574,2.576e+09,0.139259,1.953e+09,0.183691,1.481e+09,0.080037,3.398e+09,0.124657,2.182e+09
555.9,0.105892,2.568e+09,0.139819,1.945e+09,0.184615,1.473e+09,0.080198,3.391e+09,0.125108,2.174e+09
557.9,0.106211,2.561e+09,0.140381,1.937e+09,0.185544,1.466e+09,0.080359,3.384e+09,0.125561,2.166e+09
559.9,0.106532,2.553e+09,0.140946,1.930e+09,0.186477,1.458e+09,0.080520,3.378e+09,0.126015,2.158e+09
561.9,0.106853,2.545e+09,0.141512,1.922e+09,0.187415,1.451e+09,0.080682,3.371e+09,0.126471,2.150e+09
563.9,0.107175,2.538e+09,0.142081,1.914e+09,0.188357,1.444e+09,0.080844,3.364e+09,0.126929,2.143e+09
565.9,0.107498,2.530e+09,0.142653,1.907e+09,0.189305,1.437e+09,0.081006,3.357e+09,0.127388,2.135e+09
567.9,0.107822,2.522e+09,0.143227,1.899e+09,0.190257,1.430e+09,0.081169,3.351e+09,0.127849,2.127e+09
569.9,0.108147,2.515e+09,0.143802,1.891e+09,0.191213,1.422e+09,0.081332,3.344e+09,0.128311,2.120e+09
571.9,0.108473,2.507e+09,0.144381,1.884e+09,0.192175,1.415e+09,0.081495,3.337e+09,0.128776,2.112e+09
573.9,0.108800,2.500e+09,0.144961,1.876e+09,0.193142,1.408e+09,0.081659,3.331e+09,0.129242,2.104e+09
575.9,0.109128,2.492e+09,0.145544,1.869e+09,0.194113,1.401e+09,0.081823,3.324e+09,0.129709,2.097e+09
577.9,0.109457,2.485e+09,0.146130,1.861e+09,0.195089,1.394e+09,0.081988,3.317e+09,0.130179,2.089e+09
579.9,0.109787,2.477e+09,0.146717,1.854e+09,0.196070,1.387e+09,0.082152,3.311e+09,0.130650,2.082e+09
581.9,0.110118,2.470e+09,0.147307,1.846e+09,0.197057,1.380e+09,0.082317,3.304e+09,0.131123,2.074e+09
583.9,0.110450,2.462e+09,0.147900,1.839e+09,0.198048,1.373e+09,0.082483,3.297e+09,0.131597,2.067e+09
586.0,0.110783,2.455e+09,0.148494,1.832e+09,0.199044,1.366e+09,0.082648,3.291e+09,0.132073,2.059e+09
588.0,0.111117,2.448e+09,0.149092,1.824e+09,0.200045,1.360e+09,0.082814,3.284e+09,0.132551,2.052e+09
590.0,0.111452,2.440e+09,0.149691,1.817e+09,0.201051,1.353e+09,0.082981,3.278e+09,0.133031,2.044e+09
592.0,0.111788,2.433e+09,0.150293,1.810e+09,0.202062,1.346e+09,0.083147,3.271e+09,0.133512,2.037e+09
594.0,0.112125,2.426e+09,0.150898,1.802e+09,0.203078,1.339e+09,0.083314,3.264e+09,0.133995,2.030e+09
596.0,0.112463,2.418e+09,0.151504,1.795e+09,0.204100,1.333e+09,0.083482,3.258e+09,0.134480,2.022e+09
598.0,0.112802,2.411e+09,0.152114,1.788e+09,0.205126,1.326e+09,0.083649,3.251e+09,0.134967,2.015e+09
600.0,0.113142,2.404e+09,0.152725,1.781e+09,0.206158,1.319e+09,0.083817,3.245e+09,0.135455,2.008e+09
