r_nm,DeltaP_L_Mineralöl VG 46_Pa,DeltaP_L_Phosphatester HEP_Pa,DeltaP_L_Wasserglykol HFC_Pa,DeltaP_L_Esteröl HEES_Pa,DeltaP_L_Silikonöl_Pa,P_kav_Mineralöl VG 46_bar,P_kav_Phosphatester HEP_bar,P_kav_Wasserglykol HFC_bar,P_kav_Esteröl HEES_bar,P_kav_Silikonöl_bar
23.09,2598619.72,3464826.29,5630342.72,2771861.03,1819033.80,25.9912,34.6533,56.3084,27.7236,18.1953
23.63,2539321.36,3385761.82,5501862.95,2708609.45,1777524.95,25.3982,33.8626,55.0236,27.0911,17.7802
24.18,2481376.15,3308501.53,5376314.99,2646801.23,1736963.31,24.8188,33.0900,53.7681,26.4730,17.3746
24.74,2424753.20,3233004.27,5253631.93,2586403.41,1697327.24,24.2525,32.3350,52.5413,25.8690,16.9783
25.32,2369422.34,3159229.78,5133748.40,2527383.83,1658595.64,23.6992,31.5973,51.3425,25.2788,16.5910
25.91,2315354.08,3087138.77,5016600.51,2469711.02,1620747.86,23.1585,30.8764,50.1710,24.7021,16.2125
26.52,2262519.62,3016692.82,4902125.83,2413354.26,1583763.73,22.6302,30.1719,49.0263,24.1385,15.8426
27.14,2210890.79,2947854.39,4790263.38,2358283.51,1547623.55,22.1139,29.4835,47.9076,23.5878,15.4812
27.77,2160440.09,2880586.79,4680953.53,2304469.43,1512308.06,21.6094,28.8109,46.8145,23.0497,15.1281
28.42,2111140.64,2814854.18,4574138.04,2251883.34,1477798.44,21.1164,28.1535,45.7464,22.5238,14.7830
29.08,2062966.15,2750621.54,4469760.00,2200497.23,1444076.31,20.6347,27.5112,44.7026,22.0100,14.4458
29.76,2015890.97,2687854.63,4367763.77,2150283.70,1411123.68,20.1639,26.8835,43.6826,21.5078,14.1162
30.46,1969890.01,2626520.01,4268095.02,2101216.01,1378923.01,19.7039,26.2702,42.6860,21.0172,13.7942
31.17,1924938.75,2566585.00,4170700.62,2053268.00,1347457.12,19.2544,25.6708,41.7120,20.5377,13.4796
31.90,1881013.24,2508017.65,4075528.68,2006414.12,1316709.27,18.8151,25.0852,40.7603,20.0691,13.1721
32.64,1838090.07,2450786.76,3982528.49,1960629.41,1286663.05,18.3859,24.5129,39.8303,19.6113,12.8716
33.40,1796146.38,2394861.84,3891650.48,1915889.47,1257302.46,17.9665,23.9536,38.9215,19.1639,12.5780
34.18,1755159.80,2340213.07,3802846.24,1872170.46,1228611.86,17.5566,23.4071,38.0335,18.7267,12.2911
34.98,1715108.51,2286811.34,3716068.43,1829449.07,1200575.96,17.1561,22.8731,37.1657,18.2995,12.0108
35.80,1675971.15,2234628.20,3631270.83,1787702.56,1173179.81,16.7647,22.3513,36.3177,17.8820,11.7368
36.64,1637726.88,2183635.83,3548408.23,1746908.67,1146408.81,16.3823,21.8414,35.4891,17.4741,11.4691
37.49,1600355.30,2133807.07,3467436.49,1707045.66,1120248.71,16.0086,21.3431,34.6794,17.0755,11.2075
38.37,1563836.52,2085115.36,3388312.46,1668092.29,1094685.56,15.6434,20.8562,33.8881,16.6859,10.9519
39.26,1528151.06,2037534.75,3310993.97,1630027.80,1069705.74,15.2865,20.3803,33.1149,16.3053,10.7021
40.18,1493279.92,1991039.89,3235439.83,1592831.92,1045295.94,14.9378,19.9154,32.3594,15.9333,10.4580
41.12,1459204.51,1945606.01,3161609.77,1556484.81,1021443.16,14.5970,19.4611,31.6211,15.5698,10.2194
42.08,1425906.67,1901208.89,3089464.45,1520967.11,998134.67,14.2641,19.0171,30.8996,15.2147,9.9863
43.06,1393368.66,1857824.88,3018965.43,1486259.90,975358.06,13.9387,18.5832,30.1947,14.8676,9.7586
44.07,1361573.14,1815430.85,2950075.13,1452344.68,953101.20,13.6207,18.1593,29.5058,14.5284,9.5360
45.10,1330503.17,1774004.22,2882756.86,1419203.38,931352.22,13.3100,17.7450,28.8326,14.1970,9.3185
46.15,1300142.18,1733522.91,2816974.73,1386818.33,910099.53,13.0064,17.3402,28.1747,13.8732,9.1060
47.23,1270474.01,1693965.35,2752693.70,1355172.28,889331.81,12.7097,16.9447,27.5319,13.5567,8.8983
48.33,1241482.85,1655310.46,2689879.51,1324248.37,869037.99,12.4198,16.5581,26.9038,13.2475,8.6954
49.46,1213153.24,1617537.65,2628498.68,1294030.12,849207.27,12.1365,16.1804,26.2900,12.9453,8.4971
50.61,1185470.08,1580626.78,2568518.52,1264501.42,829829.06,11.8597,15.8113,25.6902,12.6500,8.3033
51.79,1158418.64,1544558.18,2509907.05,1235646.55,810893.05,11.5892,15.4506,25.1041,12.3615,8.1139
53.00,1131984.48,1509312.64,2452633.05,1207450.11,792389.14,11.3248,15.0981,24.5313,12.0795,7.9289
54.24,1106153.53,1474871.38,2396665.99,1179897.10,774307.47,11.0665,14.7537,23.9717,11.8040,7.7481
55.51,1080912.02,1441216.03,2341976.05,1152972.83,756638.42,10.8141,14.4172,23.4248,11.5347,7.5714
56.80,1056246.51,1408328.68,2288534.10,1126662.94,739372.55,10.5675,14.0883,22.8903,11.2716,7.3987
58.13,1032143.83,1376191.78,2236311.64,1100953.42,722500.68,10.3264,13.7669,22.3681,11.0145,7.2300
59.49,1008591.17,1344788.22,2185280.86,1075830.58,706013.82,10.0909,13.4529,21.8578,10.7633,7.0651
60.88,985575.95,1314101.27,2135414.56,1051281.01,689903.17,9.8608,13.1460,21.3591,10.5178,6.9040
62.30,963085.92,1284114.56,2086686.17,1027291.65,674160.15,9.6359,12.8461,20.8719,10.2779,6.7466
63.75,941109.10,1254812.13,2039069.71,1003849.71,658776.37,9.4161,12.5531,20.3957,10.0435,6.5928
65.24,919633.77,1226178.36,1992539.83,980942.69,643743.64,9.2013,12.2668,19.9304,9.8144,6.4424
66.77,898648.49,1198197.98,1947071.72,958558.38,629053.94,8.9915,11.9870,19.4757,9.5906,6.2955
68.33,878142.07,1170856.09,1902641.15,936684.88,614699.45,8.7864,11.7136,19.0314,9.3718,6.1520
69.92,858103.60,1144138.13,1859224.46,915310.50,600672.52,8.5860,11.4464,18.5972,9.1581,6.0117
71.55,838522.38,1118029.84,1816798.49,894423.87,586965.67,8.3902,11.1853,18.1730,8.9492,5.8747
73.23,819387.99,1092517.33,1775340.65,874013.86,573571.60,8.1989,10.9302,17.7584,8.7451,5.7407
74.94,800690.24,1067586.98,1734828.85,854069.59,560483.17,8.0119,10.6809,17.3533,8.5457,5.6098
76.69,782419.15,1043225.53,1695241.49,834580.43,547693.40,7.8292,10.4373,16.9574,8.3508,5.4819
78.48,764564.99,1019419.99,1656557.48,815535.99,535195.49,7.6506,10.1992,16.5706,8.1604,5.3570
80.31,747118.25,996157.67,1618756.21,796926.13,522982.78,7.4762,9.9666,16.1926,7.9743,5.2348
82.18,730069.63,973426.17,1581817.53,778740.94,511048.74,7.3057,9.7393,15.8232,7.7924,5.1155
84.10,713410.05,951213.39,1545721.77,760970.72,499387.03,7.1391,9.5171,15.4622,7.6147,4.9989
86.07,697130.62,929507.49,1510449.67,743605.99,487991.43,6.9763,9.3001,15.1095,7.4411,4.8849
88.08,681222.67,908296.90,1475982.46,726637.52,476855.87,6.8172,9.0880,14.7648,7.2714,4.7736
90.13,665677.74,887570.32,1442301.76,710056.25,465974.42,6.6618,8.8807,14.4280,7.1056,4.6647
92.24,650487.52,867316.70,1409389.63,693853.36,455341.26,6.5099,8.6782,14.0989,6.9435,4.5584
94.39,635643.93,847525.25,1377228.52,678020.20,444950.75,6.3614,8.4803,13.7773,6.7852,4.4545
96.60,621139.07,828185.42,1345801.31,662548.34,434797.35,6.2164,8.2869,13.4630,6.6305,4.3530
98.85,606965.19,809286.91,1315091.24,647429.53,424875.63,6.0747,8.0979,13.1559,6.4793,4.2538
101.16,593114.74,790819.66,1285081.94,632655.73,415180.32,5.9361,7.9132,12.8558,6.3316,4.1568
103.52,579580.35,772773.81,1255757.44,618219.05,405706.25,5.8008,7.7327,12.5626,6.1872,4.0621
105.94,566354.81,755139.75,1227102.09,604111.80,396448.37,5.6685,7.5564,12.2760,6.0461,3.9695
108.41,553431.06,737908.08,1199100.64,590326.47,387401.74,5.5393,7.3841,11.9960,5.9083,3.8790
110.95,540802.22,721069.63,1171738.15,576855.70,378561.56,5.4130,7.2157,11.7224,5.7736,3.7906
113.54,528461.56,704615.42,1145000.06,563692.33,369923.09,5.2896,7.0512,11.4550,5.6419,3.7042
116.19,516402.51,688536.68,1118872.10,550829.34,361481.76,5.1690,6.8904,11.1937,5.5133,3.6198
118.90,504618.63,672824.84,1093340.37,538259.87,353233.04,5.0512,6.7332,10.9384,5.3876,3.5373
121.68,493103.65,657471.53,1068391.24,525977.23,345172.56,4.9360,6.5797,10.6889,5.2648,3.4567
124.52,481851.43,642468.58,1044011.44,513974.86,337296.00,4.8235,6.4297,10.4451,5.1447,3.3780
127.43,470855.98,627807.98,1020187.96,502246.38,329599.19,4.7136,6.2831,10.2069,5.0275,3.3010
130.40,460111.44,613481.92,996908.12,490785.53,322078.01,4.6061,6.1398,9.9741,4.9129,3.2258
133.45,449612.08,599482.77,974159.50,479586.21,314728.45,4.5011,5.9998,9.7466,4.8009,3.1523
136.56,439352.30,585803.07,951929.98,468642.45,307546.61,4.3985,5.8630,9.5243,4.6914,3.0805
139.75,429326.64,572435.53,930207.73,457948.42,300528.65,4.2983,5.7294,9.3071,4.5845,3.0103
143.02,419529.77,559373.02,908981.16,447498.42,293670.84,4.2003,5.5987,9.0948,4.4800,2.9417
146.36,409956.44,546608.59,888238.96,437286.87,286969.51,4.1046,5.4711,8.8874,4.3779,2.8747
149.77,400601.58,534135.44,867970.08,427308.35,280421.10,4.0110,5.3464,8.6847,4.2781,2.8092
153.27,391460.18,521946.91,848163.72,417557.53,274022.13,3.9196,5.2245,8.4866,4.1806,2.7452
156.85,382527.38,510036.51,828809.33,408029.21,267769.17,3.8303,5.1054,8.2931,4.0853,2.6827
160.51,373798.42,498397.90,809896.59,398718.32,261658.90,3.7430,4.9890,8.1040,3.9922,2.6216
164.26,365268.65,487024.87,791415.42,389619.90,255688.06,3.6577,4.8752,7.9192,3.9012,2.5619
168.10,356933.52,475911.37,773355.97,380729.09,249853.47,3.5743,4.7641,7.7386,3.8123,2.5035
172.02,348788.60,465051.46,755708.63,372041.17,244152.02,3.4929,4.6555,7.5621,3.7254,2.4465
176.04,340829.53,454439.37,738463.98,363551.50,238580.67,3.4133,4.5494,7.3896,3.6405,2.3908
