f_Hz,Kprime_VG 10  (η = 10 mPa·s)_GPa,Kdoubleprime_VG 10  (η = 10 mPa·s)_GPa,tand_VG 10  (η = 10 mPa·s),Kprime_VG 22  (η = 22 mPa·s)_GPa,Kdoubleprime_VG 22  (η = 22 mPa·s)_GPa,tand_VG 22  (η = 22 mPa·s),Kprime_VG 46  (η = 46 mPa·s)_GPa,Kdoubleprime_VG 46  (η = 46 mPa·s)_GPa,tand_VG 46  (η = 46 mPa·s),Kprime_VG 100 (η = 100 mPa·s)_GPa,Kdoubleprime_VG 100 (η = 100 mPa·s)_GPa,tand_VG 100 (η = 100 mPa·s),Kprime_VG 320 (η = 320 mPa·s)_GPa,Kdoubleprime_VG 320 (η = 320 mPa·s)_GPa,tand_VG 320 (η = 320 mPa·s)
8.251e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000001
8.542e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000001
8.843e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000001
9.154e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000001
9.476e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000001
9.810e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000001
1.015e+04,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000001
1.051e+04,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000001
1.088e+04,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000002,0.000001
1.127e+04,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000002,0.000001
