t_h,delta_eta_Pas,K_alt_MPa,K_ratio,lambda_ox,lambda_fri,lambda_cav,lambda_tot
2214.4,0.66433,644.9429,0.4300,651121933216065657998935977870442960519168.0000,0.0000,0.1355,651121933216065657998935977870442960519168.0000
2224.4,0.66733,643.0106,0.4287,1006617362251738236665453519436864544571392.0000,0.0000,0.1355,1006617362251738236665453519436864544571392.0000
2234.5,0.67034,641.0826,0.4274,1556203934003300702062895388185963557552128.0000,0.0000,0.1355,1556203934003300702062895388185963557552128.0000
2244.5,0.67335,639.1590,0.4261,2405850301240450710438454237578898729598976.0000,0.0000,0.1355,2405850301240450710438454237578898729598976.0000
2254.5,0.67635,637.2396,0.4248,3719381210590629067049094623633023462014976.0000,0.0000,0.1355,3719381210590629067049094623633023462014976.0000
2264.5,0.67936,635.3245,0.4235,5750065406214820724113509052688137466150912.0000,0.0000,0.1355,5750065406214820724113509052688137466150912.0000
2274.5,0.68236,633.4136,0.4223,8889449697063717058139298109906715280408576.0000,0.0000,0.1355,8889449697063717058139298109906715280408576.0000
2284.6,0.68537,631.5069,0.4210,13742855138867175722026830331017258099277824.0000,0.0000,0.1355,13742855138867175722026830331017258099277824.0000
2294.6,0.68838,629.6044,0.4197,21246092143395010875610988457237186338619392.0000,0.0000,0.1355,21246092143395010875610988457237186338619392.0000
2304.6,0.69138,627.7060,0.4185,32845898963819413933480512355625735928414208.0000,0.0000,0.1355,32845898963819413933480512355625735928414208.0000
2314.6,0.69439,625.8118,0.4172,50778894841461843040980979671144363980750848.0000,0.0000,0.1355,50778894841461843040980979671144363980750848.0000
2324.6,0.69739,623.9216,0.4159,78502834224767154138595036919873855815680000.0000,0.0000,0.1355,78502834224767154138595036919873855815680000.0000
2334.7,0.70040,622.0356,0.4147,121363314435298177364872012230052793603325952.0000,0.0000,0.1355,121363314435298177364872012230052793603325952.0000
2344.7,0.70341,620.1535,0.4134,187624488162417545437585861598934668171804672.0000,0.0000,0.1355,187624488162417545437585861598934668171804672.0000
