t_h,delta_eta_Pas,K_alt_MPa,K_ratio,lambda_ox,lambda_fri,lambda_cav,lambda_tot
3206.4,0.96192,471.0981,0.3141,3504849950859275262100560357454364961981587477580358726189056.0000,0.0000,0.1355,3504849950859275262100560357454364961981587477580358726189056.0000
3216.4,0.96493,469.4917,0.3130,5418405728088822997757764008236666021221870471553251981393920.0000,0.0000,0.1355,5418405728088822997757764008236666021221870471553251981393920.0000
3226.5,0.96794,467.8878,0.3119,8376712568532936577542084661927253586975056341310008329240576.0000,0.0000,0.1355,8376712568532936577542084661927253586975056341310008329240576.0000
3236.5,0.97094,466.2864,0.3109,12950177040464582587148658434660472793011598831310444836159488.0000,0.0000,0.1355,12950177040464582587148658434660472793011598831310444836159488.0000
3246.5,0.97395,464.6875,0.3098,20020632677473803850300269330222710641783831292893253131567104.0000,0.0000,0.1355,20020632677473803850300269330222710641783831292893253131567104.0000
3256.5,0.97695,463.0910,0.3087,30951370900482484481643819785274284062455092973834769931436032.0000,0.0000,0.1355,30951370900482484481643819785274284062455092973834769931436032.0000
3266.5,0.97996,461.4970,0.3077,47850004345623892544826706758590089467213593065342817122910208.0000,0.0000,0.1355,47850004345623892544826706758590089467213593065342817122910208.0000
3276.6,0.98297,459.9054,0.3066,73974846646951051671248588976975347311331921948684527362637824.0000,0.0000,0.1355,73974846646951051671248588976975347311331921948684527362637824.0000
3286.6,0.98597,458.3163,0.3055,114363164879013146311727782416335032578176025870300971387584512.0000,0.0000,0.1355,114363164879013146311727782416335032578176025870300971387584512.0000
3296.6,0.98898,456.7295,0.3045,176802441288783769685494058067328977410526178737742756850958336.0000,0.0000,0.1355,176802441288783769685494058067328977410526178737742756850958336.0000
3306.6,0.99198,455.1452,0.3034,273331918356266993588564555767461247813279473400985854926651392.0000,0.0000,0.1355,273331918356266993588564555767461247813279473400985854926651392.0000
3316.6,0.99499,453.5633,0.3024,422563947916789644150855905354120494591464133504360509912121344.0000,0.0000,0.1355,422563947916789644150855905354120494591464133504360509912121344.0000
3326.7,0.99800,451.9838,0.3013,653272735774252922788813984020314371945752838853169475219357696.0000,0.0000,0.1355,653272735774252922788813984020314371945752838853169475219357696.0000
3336.7,1.00100,450.4066,0.3003,1009942446367967825567537933099882317805064681340494815302778880.0000,0.0000,0.1355,1009942446367967825567537933099882317805064681340494815302778880.0000
3346.7,1.00401,448.8319,0.2992,1561344426484832687782141328648107663286759985686120176975609856.0000,0.0000,0.1355,1561344426484832687782141328648107663286759985686120176975609856.0000
3356.7,1.00701,447.2594,0.2982,2413797367248449205013150382636180885225109252452198423059234816.0000,0.0000,0.1355,2413797367248449205013150382636180885225109252452198423059234816.0000
3366.7,1.01002,445.6893,0.2971,3731667165362725125833451838975414900362435685266743861748695040.0000,0.0000,0.1355,3731667165362725125833451838975414900362435685266743861748695040.0000
3376.8,1.01303,444.1216,0.2961,5769059168756549516077119899667252180627379014189543790777204736.0000,0.0000,0.1355,5769059168756549516077119899667252180627379014189543790777204736.0000
3386.8,1.01603,442.5562,0.2950,8918813553776216754168617936025853331203022507541660670135107584.0000,0.0000,0.1355,8918813553776216754168617936025853331203022507541660670135107584.0000
3396.8,1.01904,440.9931,0.2940,13788250888083028682582897243118444734443941011621730440726970368.0000,0.0000,0.1355,13788250888083028682582897243118444734443941011621730440726970368.0000
3406.8,1.02204,439.4322,0.2930,21316272776241449657230206555692251194313597492369186539918327808.0000,0.0000,0.1355,21316272776241449657230206555692251194313597492369186539918327808.0000
3416.8,1.02505,437.8737,0.2919,32954396374078819028600707310752551738701368610474887613396287488.0000,0.0000,0.1355,32954396374078819028600707310752551738701368610474887613396287488.0000
3426.9,1.02806,436.3175,0.2909,50946628980576196416276985664395043978943544982083171018199793664.0000,0.0000,0.1355,50946628980576196416276985664395043978943544982083171018199793664.0000
3436.9,1.03106,434.7635,0.2898,78762146786764400778689747802651691867845317145592872331819089920.0000,0.0000,0.1355,78762146786764400778689747802651691867845317145592872331819089920.0000
3446.9,1.03407,433.2119,0.2888,121764204827466531073415397441530059953921187219404317232799416320.0000,0.0000,0.1355,121764204827466531073415397441530059953921187219404317232799416320.0000
3456.9,1.03707,431.6624,0.2878,188244254151751310296309593026552824153452355230712861281337999360.0000,0.0000,0.1355,188244254151751310296309593026552824153452355230712861281337999360.0000
3466.9,1.04008,430.1152,0.2867,291020659736241396361212813028764908133159365490538332801451687936.0000,0.0000,0.1355,291020659736241396361212813028764908133159365490538332801451687936.0000
3477.0,1.04309,428.5703,0.2857,449910276278858074781002104330340147259268224866875390832314155008.0000,0.0000,0.1355,449910276278858074781002104330340147259268224866875390832314155008.0000
3487.0,1.04609,427.0275,0.2847,695549439289876500210892860028761839067536129918116141847046782976.0000,0.0000,0.1355,695549439289876500210892860028761839067536129918116141847046782976.0000
3497.0,1.04910,425.4870,0.2837,1075301116697777305938167678983662588092535020769570696059833810944.0000,0.0000,0.1355,1075301116697777305938167678983662588092535020769570696059833810944.0000
3507.0,1.05210,423.9487,0.2826,1662387209674106194356454333929489997881786339251704585386714988544.0000,0.0000,0.1355,1662387209674106194356454333929489997881786339251704585386714988544.0000
3517.0,1.05511,422.4126,0.2816,2570006849220871207159300415646589431760081500195138682966008397824.0000,0.0000,0.1355,2570006849220871207159300415646589431760081500195138682966008397824.0000
3527.1,1.05812,420.8786,0.2806,3973162910906197829216096005254263238642333299970526325113679249408.0000,0.0000,0.1355,3973162910906197829216096005254263238642333299970526325113679249408.0000
3537.1,1.06112,419.3469,0.2796,6142405231871787539723453183239764367303721198398760033241377275904.0000,0.0000,0.1355,6142405231871787539723453183239764367303721198398760033241377275904.0000
3547.1,1.06413,417.8173,0.2785,9495996735739620883126693382434772429397887889204543562344944369664.0000,0.0000,0.1355,9495996735739620883126693382434772429397887889204543562344944369664.0000
3557.1,1.06713,416.2899,0.2775,14680560887985581118820848823264055226813021787220202731747512680448.0000,0.0000,0.1355,14680560887985581118820848823264055226813021787220202731747512680448.0000
3567.1,1.07014,414.7646,0.2765,22695760538196255102653651312492798369356852016358679628225968078848.0000,0.0000,0.1355,22695760538196255102653651312492798369356852016358679628225968078848.0000
3577.2,1.07315,413.2414,0.2755,35087048126936769876302716041760076164661774366470855255693440581632.0000,0.0000,0.1355,35087048126936769876302716041760076164661774366470855255693440581632.0000
3587.2,1.07615,411.7204,0.2745,54243652429717330192981906689271334575734016731119961800396960169984.0000,0.0000,0.1355,54243652429717330192981906689271334575734016731119961800396960169984.0000
3597.2,1.07916,410.2016,0.2735,83859258216051353620238817803075492417511355342241815679798064709632.0000,0.0000,0.1355,83859258216051353620238817803075492417511355342241815679798064709632.0000
3607.2,1.08216,408.6848,0.2725,129644204870948129498292744230818303402855415197296081649255869054976.0000,0.0000,0.1355,129644204870948129498292744230818303402855415197296081649255869054976.0000
3617.2,1.08517,407.1701,0.2714,200426526708803787994633596045755296614950400224581834454267942928384.0000,0.0000,0.1355,200426526708803787994633596045755296614950400224581834454267942928384.0000
3627.3,1.08818,405.6576,0.2704,309854132304194392802686894335588259048513439699308258417933297909760.0000,0.0000,0.1355,309854132304194392802686894335588259048513439699308258417933297909760.0000
3637.3,1.09118,404.1471,0.2694,479026328912432736395860718506171406265492414457302396469004982026240.0000,0.0000,0.1355,479026328912432736395860718506171406265492414457302396469004982026240.0000
3647.3,1.09419,402.6387,0.2684,740562089925701866817941428357469504303380395607649039424708392517632.0000,0.0000,0.1355,740562089925701866817941428357469504303380395607649039424708392517632.0000
3657.3,1.09719,401.1323,0.2674,1144889489227656603480501444618755794745245075408948550985672936128512.0000,0.0000,0.1355,1144889489227656603480501444618755794745245075408948550985672936128512.0000
3667.3,1.10020,399.6281,0.2664,1769969001080510813949149462213035562006008302468833947253820199272448.0000,0.0000,0.1355,1769969001080510813949149462213035562006008302468833947253820199272448.0000
3677.4,1.10321,398.1259,0.2654,2736325465700266903643366174391022690414173381563539462991277165903872.0000,0.0000,0.1355,2736325465700266903643366174391022690414173381563539462991277165903872.0000
3687.4,1.10621,396.6257,0.2644,4230287112185734668104044263030741829205354272251939890249330421923840.0000,0.0000,0.1355,4230287112185734668104044263030741829205354272251939890249330421923840.0000
3697.4,1.10922,395.1276,0.2634,6539912475998373516227986362430442810346858790034017916877778922242048.0000,0.0000,0.1355,6539912475998373516227986362430442810346858790034017916877778922242048.0000
3707.4,1.11222,393.6315,0.2624,10110532467291617850773395203908276589050431665697726265886048637681664.0000,0.0000,0.1355,10110532467291617850773395203908276589050431665697726265886048637681664.0000
3717.4,1.11523,392.1374,0.2614,15630616945917574394753180679696017946908683339009286284017374005821440.0000,0.0000,0.1355,15630616945917574394753180679696017946908683339009286284017374005821440.0000
3727.5,1.11824,390.6453,0.2604,24164522185195983426262212244301673506511187288797951804609255002079232.0000,0.0000,0.1355,24164522185195983426262212244301673506511187288797951804609255002079232.0000
3737.5,1.12124,389.1552,0.2594,37357714955154457370613649149942317770420647919674609746289644816826368.0000,0.0000,0.1355,37357714955154457370613649149942317770420647919674609746289644816826368.0000
3747.5,1.12425,387.6672,0.2584,57754043550904655587732472773229832498453330700437299664122237054615552.0000,0.0000,0.1355,57754043550904655587732472773229832498453330700437299664122237054615552.0000
3757.5,1.12725,386.1811,0.2575,89286230447547095123249945580625830001502006006726489110456857364791296.0000,0.0000,0.1355,89286230447547095123249945580625830001502006006726489110456857364791296.0000
3767.5,1.13026,384.6970,0.2565,138034161028159985272531502643692158807430296097503990000302513838882816.0000,0.0000,0.1355,138034161028159985272531502643692158807430296097503990000302513838882816.0000
3777.6,1.13327,383.2148,0.2555,213397177988612288893462987951271255702600075291451130867910867068911616.0000,0.0000,0.1355,213397177988612288893462987951271255702600075291451130867910867068911616.0000
3787.6,1.13627,381.7347,0.2545,329906417616529786745775453466797117840360924421740549879205890355101696.0000,0.0000,0.1355,329906417616529786745775453466797117840360924421740549879205890355101696.0000
3797.6,1.13928,380.2565,0.2535,510026633952878652201985814835054819434997754877274704150416799672827904.0000,0.0000,0.1355,510026633952878652201985814835054819434997754877274704150416799672827904.0000
3807.6,1.14228,378.7802,0.2525,788487745163085749918029504301354984454388802846023910983710230387359744.0000,0.0000,0.1355,788487745163085749918029504301354984454388802846023910983710230387359744.0000
3817.6,1.14529,377.3059,0.2515,1218981290161098967793679344318839144014447039124162863613544757299511296.0000,0.0000,0.1355,1218981290161098967793679344318839144014447039124162863613544757299511296.0000
3827.7,1.14830,375.8335,0.2506,1884512974206641734982648185315414774542750226470854151170955459640164352.0000,0.0000,0.1355,1884512974206641734982648185315414774542750226470854151170955459640164352.0000
3837.7,1.15130,374.3630,0.2496,2913407431777492043739470506901708743172788609833554799042995040693518336.0000,0.0000,0.1355,2913407431777492043739470506901708743172788609833554799042995040693518336.0000
3847.7,1.15431,372.8945,0.2486,4504051168504101403900130841792972602499575988320221152283478454609903616.0000,0.0000,0.1355,4504051168504101403900130841792972602499575988320221152283478454609903616.0000
3857.7,1.15731,371.4279,0.2476,6963144497824941819054887239247566555455479709422626789144844477944299520.0000,0.0000,0.1355,6963144497824941819054887239247566555455479709422626789144844477944299520.0000
3867.7,1.16032,369.9631,0.2466,10764838027737784233454091347274594608342486377622092408641743640504303616.0000,0.0000,0.1355,10764838027737784233454091347274594608342486377622092408641743640504303616.0000
3877.8,1.16333,368.5003,0.2457,16642156112029642669054751511295300557780556021119356567443391733909422080.0000,0.0000,0.1355,16642156112029642669054751511295300557780556021119356567443391733909422080.0000
3887.8,1.16633,367.0394,0.2447,25728335098357666842776696212052560930083137476026439551918396662133817344.0000,0.0000,0.1355,25728335098357666842776696212052560930083137476026439551918396662133817344.0000
3897.8,1.16934,365.5803,0.2437,39775328537799472365531741128948383075215883577195509594494559096089346048.0000,0.0000,0.1355,39775328537799472365531741128948383075215883577195509594494559096089346048.0000
3907.8,1.17234,364.1231,0.2427,61491610484776741907089091062233870930960151243421581978247162734336540672.0000,0.0000,0.1355,61491610484776741907089091062233870930960151243421581978247162734336540672.0000
3917.8,1.17535,362.6678,0.2418,95064410503058792045088508104211422721676487383660718384324228062998691840.0000,0.0000,0.1355,95064410503058792045088508104211422721676487383660718384324228062998691840.0000
3927.9,1.17836,361.2143,0.2408,146967075232667574719208029016786963840036519792395393087759060816298508288.0000,0.0000,0.1355,146967075232667574719208029016786963840036519792395393087759060816298508288.0000
3937.9,1.18136,359.7627,0.2398,227207228111409854041512059393293427537344200718648808737409387143905673216.0000,0.0000,0.1355,227207228111409854041512059393293427537344200718648808737409387143905673216.0000
3947.9,1.18437,358.3130,0.2389,351256391435583713244658621616414177762752356173837532438357007112475770880.0000,0.0000,0.1355,351256391435583713244658621616414177762752356173837532438357007112475770880.0000
3957.9,1.18737,356.8650,0.2379,543033131251639846700343599628643863087254737366331996198584963985584422912.0000,0.0000,0.1355,543033131251639846700343599628643863087254737366331996198584963985584422912.0000
3967.9,1.19038,355.4189,0.2369,839514920801227680792710524558622152744506451992087956406992286642656509952.0000,0.0000,0.1355,839514920801227680792710524558622152744506451992087956406992286642656509952.0000
3978.0,1.19339,353.9747,0.2360,1297867959959364650506065109029084364025256719691807161486369297955645554688.0000,0.0000,0.1355,1297867959959364650506065109029084364025256719691807161486369297955645554688.0000
3988.0,1.19639,352.5322,0.2350,2006469688330727806320000284200710387060212882586577259766708080701377347584.0000,0.0000,0.1355,2006469688330727806320000284200710387060212882586577259766708080701377347584.0000
3998.0,1.19940,351.0916,0.2341,3101949300232402769356648936228023406824372383493447009522989717708909576192.0000,0.0000,0.1355,3101949300232402769356648936228023406824372383493447009522989717708909576192.0000
4008.0,1.20240,349.6528,0.2331,4795531932115590634008676303936374327628967893339546821331202381623882416128.0000,0.0000,0.1355,4795531932115590634008676303936374327628967893339546821331202381623882416128.0000
4018.0,1.20541,348.2157,0.2321,7413766082578448219239625521401244675180024217643983955988694843864874221568.0000,0.0000,0.1355,7413766082578448219239625521401244675180024217643983955988694843864874221568.0000
4028.1,1.20842,346.7805,0.2312,11461487131198049508730201754976736971954211535822292425135494287916749815808.0000,0.0000,0.1355,11461487131198049508730201754976736971954211535822292425135494287916749815808.0000
4038.1,1.21142,345.3470,0.2302,17719157280577001329808843646600550887720771731244947670267055982911491670016.0000,0.0000,0.1355,17719157280577001329808843646600550887720771731244947670267055982911491670016.0000
4048.1,1.21443,343.9153,0.2293,27393350543422482963742431492751582274319253852062228787536139158295666491392.0000,0.0000,0.1355,27393350543422482963742431492751582274319253852062228787536139158295666491392.0000
4058.1,1.21743,342.4854,0.2283,42349398569725202784383660178539827441744252021415241556324559208730771587072.0000,0.0000,0.1355,42349398569725202784383660178539827441744252021415241556324559208730771587072.0000
4068.1,1.22044,341.0573,0.2274,65471054969145817180571725129817007192974122918521331413085442645000772911104.0000,0.0000,0.1355,65471054969145817180571725129817007192974122918521331413085442645000772911104.0000
4078.2,1.22345,339.6309,0.2264,101216526882080862879676943922691991898932960455536616293589913075993035145216.0000,0.0000,0.1355,101216526882080862879676943922691991898932960455536616293589913075993035145216.0000
4088.2,1.22645,338.2062,0.2255,156478085146170074977720947325172168411256664617565463135132644829273622839296.0000,0.0000,0.1355,156478085146170074977720947325172168411256664617565463135132644829273622839296.0000
4098.2,1.22946,336.7833,0.2245,241910998976856721826129572894766518099358415278400837983220725758217462743040.0000,0.0000,0.1355,241910998976856721826129572894766518099358415278400837983220725758217462743040.0000
4108.2,1.23246,335.3622,0.2236,373988033987740638799068912681020012668772044909902533167508871047769009160192.0000,0.0000,0.1355,373988033987740638799068912681020012668772044909902533167508871047769009160192.0000
4118.2,1.23547,333.9428,0.2226,578175652027266310692058349327274844326644910430725589318662710878413776748544.0000,0.0000,0.1355,578175652027266310692058349327274844326644910430725589318662710878413776748544.0000
4128.3,1.23848,332.5251,0.2217,893844332484987882443026042574910535024419313227797654273485624262918521487360.0000,0.0000,0.1355,893844332484987882443026042574910535024419313227797654273485624262918521487360.0000
4138.3,1.24148,331.1091,0.2207,1381859799723766433079274171424280785043335427744258927869611262236576815513600.0000,0.0000,0.1355,1381859799723766433079274171424280785043335427744258927869611262236576815513600.0000
4148.3,1.24449,329.6948,0.2198,2136318860784049257801679298129271135804100113497168417327310237943353625804800.0000,0.0000,0.1355,2136318860784049257801679298129271135804100113497168417327310237943353625804800.0000
4158.3,1.24749,328.2823,0.2189,3302692701426079042698404363871578475240644863156303955324284455063679244697600.0000,0.0000,0.1355,3302692701426079042698404363871578475240644863156303955324284455063679244697600.0000
4168.3,1.25050,326.8714,0.2179,5105875944029030940316142606812549673836512082557714607096262509850955528273920.0000,0.0000,0.1355,5105875944029030940316142606812549673836512082557714607096262509850955528273920.0000
4178.4,1.25351,325.4622,0.2170,7893549752466606938515202019552030619015996101785578541053318472043627735416832.0000,0.0000,0.1355,7893549752466606938515202019552030619015996101785578541053318472043627735416832.0000
4188.4,1.25651,324.0548,0.2160,12203220050328268569539885374131758342976881041175768538198306054067726783086592.0000,0.0000,0.1355,12203220050328268569539885374131758342976881041175768538198306054067726783086592.0000
4198.4,1.25952,322.6490,0.2151,18865856840921916417990657879524517771284535489942008590255607220641040779182080.0000,0.0000,0.1355,18865856840921916417990657879524517771284535489942008590255607220641040779182080.0000
4208.4,1.26253,321.2448,0.2142,29166117866784366659916898468614736149350896016114595853870380008175520828096512.0000,0.0000,0.1355,29166117866784366659916898468614736149350896016114595853870380008175520828096512.0000
4218.4,1.26553,319.8424,0.2132,45090050167981919743426745483572085890990517821018621068578826990348665419202560.0000,0.0000,0.1355,45090050167981919743426745483572085890990517821018621068578826990348665419202560.0000
4228.5,1.26854,318.4416,0.2123,69708030168340653125345880651461947632039888645196873783616715510953010029133824.0000,0.0000,0.1355,69708030168340653125345880651461947632039888645196873783616715510953010029133824.0000
4238.5,1.27154,317.0425,0.2114,107766778964478462190526292944542588493224221395955139756906424821066083499769856.0000,0.0000,0.1355,107766778964478462190526292944542588493224221395955139756906424821066083499769856.0000
4248.5,1.27455,315.6450,0.2104,166604602372659791054334215963547959762209496764747561865228639986001417764601856.0000,0.0000,0.1355,166604602372659791054334215963547959762209496764747561865228639986001417764601856.0000
4258.5,1.27756,314.2492,0.2095,257566327939562757196698600538205644281746459322884109906690836156514293732343808.0000,0.0000,0.1355,257566327939562757196698600538205644281746459322884109906690836156514293732343808.0000
4268.5,1.28056,312.8550,0.2086,398190760300119543728088175269203669441513692158001395342939500733753656726257664.0000,0.0000,0.1355,398190760300119543728088175269203669441513692158001395342939500733753656726257664.0000
4278.6,1.28357,311.4625,0.2076,615592429557005034359699305302791268049189906895327826694460998626020210862194688.0000,0.0000,0.1355,615592429557005034359699305302791268049189906895327826694460998626020210862194688.0000
4288.6,1.28657,310.0716,0.2067,951689685220884638023923407567162630928356272582997160122724516345481886546526208.0000,0.0000,0.1355,951689685220884638023923407567162630928356272582997160122724516345481886546526208.0000
4298.6,1.28958,308.6823,0.2058,1471287191766840038959895907987086036374384830129150144940287930688072779560910848.0000,0.0000,0.1355,1471287191766840038959895907987086036374384830129150144940287930688072779560910848.0000
4308.6,1.29259,307.2946,0.2049,2274571253921441388256015937073699316390278504870812923961642237407145122290728960.0000,0.0000,0.1355,2274571253921441388256015937073699316390278504870812923961642237407145122290728960.0000
4318.6,1.29559,305.9085,0.2039,3516427260508694835485556220828166283837348852443449656981861317603566974949916672.0000,0.0000,0.1355,3516427260508694835485556220828166283837348852443449656981861317603566974949916672.0000
4328.7,1.29860,304.5241,0.2030,5436303943932371899740086237611724658049225438592479444182612343451746867479576576.0000,0.0000,0.1355,5436303943932371899740086237611724658049225438592479444182612343451746867479576576.0000
4338.7,1.30160,303.1412,0.2021,8404382738899662552162466729104455645410351254320507333377917525324703181047857152.0000,0.0000,0.1355,8404382738899662552162466729104455645410351254320507333377917525324703181047857152.0000
4348.7,1.30461,301.7600,0.2012,12992954395191792665637637223941385608333637658864188784256085794491273380574003200.0000,0.0000,0.1355,12992954395191792665637637223941385608333637658864188784256085794491273380574003200.0000
4358.7,1.30762,300.3803,0.2003,20086765341392716992597358376887633729511748490501771981924458864639450553155321856.0000,0.0000,0.1355,20086765341392716992597358376887633729511748490501771981924458864639450553155321856.0000
4368.7,1.31062,299.0022,0.1993,31053610257376483160662566532083507654697300903166216381590172403118714672367271936.0000,0.0000,0.1355,31053610257376483160662566532083507654697300903166216381590172403118714672367271936.0000
4378.8,1.31363,297.6257,0.1984,48008063699033512959562241185412207265845813063227454190847830390023462065568481280.0000,0.0000,0.1355,48008063699033512959562241185412207265845813063227454190847830390023462065568481280.0000
4388.8,1.31663,296.2508,0.1975,74219202245024540667501404182870012288325721096197869407449757937498137434670497792.0000,0.0000,0.1355,74219202245024540667501404182870012288325721096197869407449757937498137434670497792.0000
4398.8,1.31964,294.8774,0.1966,114740932198828738431734258613996040340940755830321328008290113626742500433206444032.0000,0.0000,0.1355,114740932198828738431734258613996040340940755830321328008290113626742500433206444032.0000
4408.8,1.32265,293.5056,0.1957,177386459617183060617946382745128118680813358529425314343584460757104004485777195008.0000,0.0000,0.1355,177386459617183060617946382745128118680813358529425314343584460757104004485777195008.0000
4418.8,1.32565,292.1354,0.1948,274234795312540053075883889379703930583520738857064183632287215027987491834283687936.0000,0.0000,0.1355,274234795312540053075883889379703930583520738857064183632287215027987491834283687936.0000
4428.9,1.32866,290.7667,0.1938,423959771915026665772044498663178762972689263477643440233707840733709892640583974912.0000,0.0000,0.1355,423959771915026665772044498663178762972689263477643440233707840733709892640583974912.0000
4438.9,1.33166,289.3996,0.1929,655430642918208404025784068179619294989822377798500524374953298816777407544673959936.0000,0.0000,0.1355,655430642918208404025784068179619294989822377798500524374953298816777407544673959936.0000
4448.9,1.33467,288.0340,0.1920,1013278513986647056482181663177233426775639089462546178972478302398091537354384736256.0000,0.0000,0.1355,1013278513986647056482181663177233426775639089462546178972478302398091537354384736256.0000
4458.9,1.33768,286.6699,0.1911,1566501899172180627846652460238656453419433756224992365650498634619277953152499843072.0000,0.0000,0.1355,1566501899172180627846652460238656453419433756224992365650498634619277953152499843072.0000
4468.9,1.34068,285.3074,0.1902,2421770684207349931288583374649337320556757815865033266932793957258212826054343524352.0000,0.0000,0.1355,2421770684207349931288583374649337320556757815865033266932793957258212826054343524352.0000
4479.0,1.34369,283.9464,0.1893,3743993703413521909594748550004028281845254029624949275343829792351902560726074523648.0000,0.0000,0.1355,3743993703413521909594748550004028281845254029624949275343829792351902560726074523648.0000
4489.0,1.34669,282.5869,0.1884,5788115671978932069869631940140562353942849632901134155146814940617078778638547025920.0000,0.0000,0.1355,5788115671978932069869631940140562353942849632901134155146814940617078778638547025920.0000
4499.0,1.34970,281.2290,0.1875,8948274405927537677561941906957436458555981025575427492586247558167384322745254805504.0000,0.0000,0.1355,8948274405927537677561941906957436458555981025575427492586247558167384322745254805504.0000
4509.0,1.35271,279.8725,0.1866,13833796589694613004559257412966877768445249246886553276704500630332268479769737166848.0000,0.0000,0.1355,13833796589694613004559257412966877768445249246886553276704500630332268479769737166848.0000
4519.0,1.35571,278.5176,0.1857,21386685231542574251885289850973591827446653987895999194600873971331102394351964127232.0000,0.0000,0.1355,21386685231542574251885289850973591827446653987895999194600873971331102394351964127232.0000
4529.1,1.35872,277.1641,0.1848,33063252175749345334324050481529090737787697599285507193571145910746724798008941084672.0000,0.0000,0.1355,33063252175749345334324050481529090737787697599285507193571145910746724798008941084672.0000
4539.1,1.36172,275.8122,0.1839,51114917183371437470048387628910355745501401066203571868646482251694021236643466313728.0000,0.0000,0.1355,51114917183371437470048387628910355745501401066203571868646482251694021236643466313728.0000
4549.1,1.36473,274.4617,0.1830,79022315916626200268987976815053065438927681197142379502819526726113508968241374953472.0000,0.0000,0.1355,79022315916626200268987976815053065438927681197142379502819526726113508968241374953472.0000
4559.1,1.36774,273.1127,0.1821,122166419450989875300167968127323560327903485412997452709070188844036977330036978745344.0000,0.0000,0.1355,122166419450989875300167968127323560327903485412997452709070188844036977330036978745344.0000
4569.1,1.37074,271.7653,0.1812,188866067367887911178046339206656076254691932280386388837499481485672054873510876545024.0000,0.0000,0.1355,188866067367887911178046339206656076254691932280386388837499481485672054873510876545024.0000
4579.2,1.37375,270.4192,0.1803,291981966593714066368479369503458977620051871901874202496100191065108773188680342831104.0000,0.0000,0.1355,291981966593714066368479369503458977620051871901874202496100191065108773188680342831104.0000
4589.2,1.37675,269.0747,0.1794,451396431365631206784308191839406986576876779361717318987001725995035677120256794427392.0000,0.0000,0.1355,451396431365631206784308191839406986576876779361717318987001725995035677120256794427392.0000
4599.2,1.37976,267.7316,0.1785,697846995918009524878339073142818167252217700797388539817975229136596595096044861128704.0000,0.0000,0.1355,697846995918009524878339073142818167252217700797388539817975229136596595096044861128704.0000
4609.2,1.38277,266.3900,0.1776,1078853078741463856574969287981319688600589464407318823830277311794538969072331162386432.0000,0.0000,0.1355,1078853078741463856574969287981319688600589464407318823830277311794538969072331162386432.0000
4619.2,1.38577,265.0499,0.1767,1667878449457066576750425511488455726113660946551581811330082480077345081597896513552384.0000,0.0000,0.1355,1667878449457066576750425511488455726113660946551581811330082480077345081597896513552384.0000
4629.3,1.38878,263.7112,0.1758,2578496161320239901489778532633561670830558168784285470202603810188259984836506811367424.0000,0.0000,0.1355,2578496161320239901489778532633561670830558168784285470202603810188259984836506811367424.0000
4639.3,1.39178,262.3739,0.1749,3986287163856163223146108354185315478542728572898028211976725864532912802442529428471808.0000,0.0000,0.1355,3986287163856163223146108354185315478542728572898028211976725864532912802442529428471808.0000
4649.3,1.39479,261.0381,0.1740,6162694981321273346669642484571347394110179901790842753933324820113418692418885702909952.0000,0.0000,0.1355,6162694981321273346669642484571347394110179901790842753933324820113418692418885702909952.0000
4659.3,1.39780,259.7037,0.1731,9527364154082502947114369504288914430761047417806487478856516882322737722464964737761280.0000,0.0000,0.1355,9527364154082502947114369504288914430761047417806487478856516882322737722464964737761280.0000
4669.3,1.40080,258.3708,0.1722,14729054090721053357263211052604375730772594886706501250245074967292255989347026026364928.0000,0.0000,0.1355,14729054090721053357263211052604375730772594886706501250245074967292255989347026026364928.0000
4679.4,1.40381,257.0393,0.1714,22770729752617359713407388079415378331950369145339063037374016683174930088726147549364224.0000,0.0000,0.1355,22770729752617359713407388079415378331950369145339063037374016683174930088726147549364224.0000
4689.4,1.40681,255.7092,0.1705,35202948558209164825059093581459556420181914948714304047794240026018038454666539965612032.0000,0.0000,0.1355,35202948558209164825059093581459556420181914948714304047794240026018038454666539965612032.0000
4699.4,1.40982,254.3806,0.1696,54422831444366705965336756420592496163205900515147620490332531391803091307966631623262208.0000,0.0000,0.1355,54422831444366705965336756420592496163205900515147620490332531391803091307966631623262208.0000
4709.4,1.41283,253.0533,0.1687,84136264254241328337077722849286145324066647420635591462221562957696942760481870378434560.0000,0.0000,0.1355,84136264254241328337077722849286145324066647420635591462221562957696942760481870378434560.0000
4719.4,1.41583,251.7275,0.1678,130072448911370675873764856751940486512098625419266353871926792492820670320965560920178688.0000,0.0000,0.1355,130072448911370675873764856751940486512098625419266353871926792492820670320965560920178688.0000
4729.5,1.41884,250.4030,0.1669,201088580718019380252993276732193000438219085979335311566915646013511383676572590927773696.0000,0.0000,0.1355,201088580718019380252993276732193000438219085979335311566915646013511383676572590927773696.0000
4739.5,1.42184,249.0800,0.1661,310877650368049652925052280805721951022495338767629594839431770224709228598724861666263040.0000,0.0000,0.1355,310877650368049652925052280805721951022495338767629594839431770224709228598724861666263040.0000
4749.5,1.42485,247.7584,0.1652,480608660886055760479269645815882570981410172476060047434692052999976057011736013466238976.0000,0.0000,0.1355,480608660886055760479269645815882570981410172476060047434692052999976057011736013466238976.0000
4759.5,1.42786,246.4382,0.1643,743008333488186711726907767649700261198275102544829892817605511110299501016904840389853184.0000,0.0000,0.1355,743008333488186711726907767649700261198275102544829892817605511110299501016904840389853184.0000
